timestamp;time(s);SS1;SS2;SS3;SS4;SS5;SS6;SS7;SS8;SS9;SS10;SS11;SS12;SS13;SS14;SS15;SS16
1681729679.239748;0.0;2020;1966;2019;2005;2101;1964;2009;1959;4076;4079;4078;4079;4079;4080;4078;4080
1681729683.437389;4.197640895843506;2019;1965;2020;2004;2098;1961;2007;1960;4078;4079;4078;4079;4077;4080;4077;4077
1681729695.5079362;16.26818823814392;2015;1962;2019;2003;2091;1954;1998;1954;4077;4076;4079;4076;4077;4078;4077;4077
1681729707.579801;28.34005308151245;2004;1953;2010;1997;2076;1943;1979;1943;4078;4075;4076;4077;4079;4078;4079;4074
1681729719.6706424;40.43089437484741;1993;1943;2005;1989;2063;1929;1962;1931;4077;4077;4077;4079;4077;4077;4079;4078
1681729731.7372985;52.49755048751831;1980;1932;1993;1980;2044;1919;1942;1917;4077;4079;4076;4080;4077;4079;4077;4079
1681729743.813876;64.57412791252136;1968;1921;1985;1967;2027;1904;1927;1903;4078;4078;4078;4078;4078;4079;4079;4078
1681729755.8893785;76.64963054656982;1954;1910;1974;1959;2015;1891;1912;1890;4077;4077;4077;4079;4078;4078;4078;4079
1681729767.9603503;88.72060227394104;1944;1900;1965;1949;2002;1880;1895;1877;4078;4079;4078;4077;4079;4078;4078;4077
1681729780.0322766;100.79252862930298;1933;1888;1953;1940;1987;1868;1883;1868;4080;4079;4077;4078;4077;4078;4078;4080
1681729792.1011121;112.86136412620544;1920;1880;1943;1928;1974;1857;1870;1858;4077;4080;4076;4078;4077;4077;4077;4077
1681729804.169336;124.92958807945251;1910;1870;1932;1921;1964;1849;1859;1847;4078;4076;4075;4079;4077;4079;4076;4076
1681729816.2404425;137.00069451332092;1901;1861;1924;1911;1955;1840;1848;1838;4076;4080;4076;4078;4077;4076;4079;4079
1681729828.3299048;149.09015679359436;1892;1853;1916;1902;1941;1830;1836;1829;4076;4079;4078;4077;4077;4079;4078;4075
1681729840.4296567;161.18990874290466;1883;1844;1903;1895;1931;1821;1824;1821;4076;4076;4078;4077;4078;4079;4078;4076
1681729852.5013797;173.26163172721863;1876;1835;1896;1887;1923;1815;1815;1812;4077;4077;4077;4077;4077;4079;4076;4078
1681729864.5713196;185.3315715789795;1867;1828;1887;1878;1912;1804;1805;1803;4079;4078;4077;4078;4077;4076;4077;4077
1681729876.6432092;197.40346121788025;1858;1820;1878;1871;1904;1798;1797;1798;4076;4078;4078;4075;4075;4078;4077;4078
1681729888.7144525;209.47470450401306;1851;1814;1871;1861;1896;1790;1787;1790;4077;4077;4075;4079;4078;4077;4078;4077
1681729900.7935283;221.55378031730652;1846;1807;1862;1854;1890;1782;1779;1782;4079;4078;4077;4079;4079;4078;4077;4078
1681729912.8615315;233.62178349494934;1837;1799;1855;1849;1882;1775;1769;1776;4077;4079;4076;4076;4077;4078;4077;4079
1681729924.9334643;245.69371628761292;1831;1794;1846;1842;1871;1767;1762;1768;4076;4077;4078;4078;4079;4078;4076;4081
1681729937.0049987;257.7652506828308;1825;1786;1840;1834;1865;1762;1754;1759;4078;4079;4078;4078;4078;4077;4079;4078
1681729949.0772882;269.8375401496887;1817;1781;1833;1828;1857;1754;1746;1753;4078;4079;4076;4079;4078;4078;4077;4077
1681729961.149364;281.90961599349976;1811;1777;1825;1819;1851;1747;1739;1748;4077;4078;4078;4077;4079;4078;4078;4078
1681729973.2228718;293.9831237792969;1806;1769;1817;1814;1842;1740;1732;1742;4079;4079;4076;4077;4076;4079;4078;4078
1681729985.2915263;306.0517783164978;1797;1761;1810;1808;1837;1735;1726;1736;4076;4077;4076;4077;4078;4075;4076;4076
1681729997.397709;318.15796089172363;1792;1756;1805;1801;1829;1728;1718;1729;4080;4076;4078;4076;4077;4077;4078;4079
1681730009.471037;330.2312889099121;1787;1751;1796;1796;1822;1723;1712;1724;4075;4078;4078;4078;4076;4079;4077;4078
1681730021.5429292;342.30318117141724;1781;1746;1793;1789;1817;1717;1703;1718;4078;4079;4078;4080;4078;4078;4078;4077
1681730033.6146398;354.3748917579651;1775;1741;1788;1784;1810;1709;1699;1712;4078;4076;4078;4078;4075;4079;4077;4079
1681730045.6860025;366.44625449180603;1767;1732;1778;1779;1804;1702;1691;1706;4079;4077;4079;4079;4078;4079;4077;4079
1681730057.7577581;378.51801013946533;1762;1729;1774;1775;1801;1699;1686;1702;4077;4078;4078;4077;4078;4077;4079;4077
1681730069.8264148;390.5866668224335;1757;1722;1766;1764;1793;1691;1680;1696;4078;4078;4077;4078;4078;4077;4078;4076
1681730081.9008367;402.66108870506287;1752;1719;1762;1759;1785;1686;1674;1691;4081;4076;4078;4079;4078;4078;4079;4079
1681730093.9693222;414.7295742034912;1747;1712;1754;1753;1781;1681;1669;1685;4078;4079;4078;4078;4078;4077;4078;4076
1681730106.0411744;426.80142641067505;1743;1706;1752;1751;1775;1677;1661;1679;4078;4077;4077;4078;4078;4079;4077;4078
1681730118.1133363;438.87358832359314;1736;1701;1745;1740;1768;1670;1658;1673;4079;4078;4076;4078;4076;4078;4077;4078
1681730130.185032;450.9452838897705;1731;1700;1738;1736;1762;1666;1649;1671;4079;4078;4077;4076;4077;4079;4078;4078
1681730142.2560844;463.01633644104004;1728;1692;1734;1731;1757;1660;1644;1663;4077;4077;4077;4078;4078;4078;4077;4076
1681730154.3255234;475.0857753753662;1724;1687;1730;1726;1750;1654;1641;1659;4077;4079;4077;4077;4076;4077;4077;4077
1681730166.4108906;487.171142578125;1720;1683;1724;1721;1746;1650;1634;1655;4078;4078;4078;4079;4077;4078;4078;4078
