timestamp;module;SS1;SS2;SS3;SS4;SS5;SS6;SS7;SS8;SS9;SS10;SS11;SS12;SS13;SS14;SS15;SS16
1681729678.2192755;stire;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25
1681729679.239748;tempe;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
1681729679.239748;tempb;2020;1966;2019;2005;2101;1964;2009;1959;4076;4079;4078;4079;4079;4080;4078;4080
1681729680.2957327;od_lede;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024
1681729681.3238623;od_135e;1000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1681729681.3238623;od_135b;65514;65514;3598;57267;65514;65514;25889;38132;65513;65514;64292;62572;65514;65515;3787;27633;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1681729682.4021404;pumpe;0-0-0;0-0-0;0-0-0;0-0-0;0-0-0;0-0-0;0-0-0;0-0-0;0-0-0;0-0-0;0-0-0;0-0-0;0-0-0;0-0-0;0-0-0;0-0-0
1681750158.481494;stire;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25
1681750159.5018163;tempe;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
1681750159.5018163;tempb;1264;1193;1205;1211;1559;1142;1110;1171;4078;4075;4077;4078;4077;4077;4077;4077
1681750160.557347;od_lede;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024
1681750161.5868983;od_135e;1000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1681750161.5868983;od_135b;65517;65518;22086;63548;65516;65516;38063;52048;65518;65518;64584;63823;65516;65517;29636;52306;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1681750162.6283376;pumpe;0-0-0;0-0-0;0-0-0;0-0-0;0-0-0;0-0-0;0-0-0;0-0-0;0-0-0;0-0-0;0-0-0;0-0-0;0-0-0;0-0-0;0-0-0;0-0-0
