led;SS1;SS2;SS3;SS4;SS5;SS6;SS7;SS8;SS9;SS10;SS11;SS12;SS13;SS14;SS15;SS16
0.0;65469.0;65463.4;65465.8;65457.0;65469.6;65468.2;65431.2;64951.6;65460.2;65472.2;65466.0;65470.6;65469.2;65462.0;65464.8;65463.4
40.95;64514.2;64735.4;64403.6;65463.6;64281.8;62193.6;60817.8;58995.6;65463.8;65473.8;65469.0;65459.0;65473.2;65471.4;65470.4;65465.6
81.9;62757.8;63465.2;62577.4;65371.0;62282.0;57005.4;53846.4;50212.2;65463.8;65466.6;65469.2;65455.4;65465.0;65476.2;65475.2;65467.0
122.85000000000001;60936.8;62178.8;60764.0;65254.2;60282.4;51740.8;46885.0;41638.0;65476.8;65465.4;65470.6;65468.4;65476.2;65471.0;65477.8;65478.4
163.8;59167.4;60891.0;58987.2;65111.4;58341.6;46939.2;40415.2;33454.8;65458.0;65464.2;65469.4;65476.8;65472.0;65472.2;65469.0;65465.4
204.75;57406.0;59624.2;57178.6;64976.8;56410.4;41820.6;33912.4;28278.2;65461.2;65459.2;65468.2;65469.2;65463.0;65468.0;65457.2;65461.6
245.70000000000002;55431.4;58350.8;55251.4;64815.0;54352.4;36765.6;28097.4;27810.0;65468.0;65466.6;65474.4;65411.8;65474.8;65474.6;65473.2;65466.4
286.65000000000003;53768.0;57086.2;53568.4;64660.6;52480.4;32684.0;27604.2;27475.2;65463.2;65464.4;65467.2;65303.4;65463.0;65470.6;65473.8;65469.0
327.6;51861.6;55679.6;51699.6;64506.8;50533.2;28810.8;27108.8;26582.0;65478.0;65467.6;65462.0;65194.8;65465.4;65467.8;65464.2;65461.4
368.55;50158.8;54479.2;49949.8;64334.0;48670.2;28246.0;26913.4;26077.6;65466.0;65463.0;65465.4;65145.4;65461.8;65468.0;65472.8;65466.0
409.5;48487.6;53073.4;48407.2;64186.0;46900.8;27704.4;26623.6;25467.4;65462.2;65460.6;65462.4;65116.6;65460.8;65464.2;65464.0;65468.8
450.45000000000005;46361.6;51965.4;46352.6;64034.6;44830.6;27656.0;25689.8;25682.2;65461.0;65466.6;65463.8;65044.8;65459.0;65455.8;65459.8;65469.2
491.40000000000003;44959.6;50608.4;44770.0;63853.6;43046.6;26667.2;25625.6;24619.6;65468.4;65457.8;65467.4;65044.2;65454.0;65464.6;65462.0;65469.0
532.35;42664.0;49535.0;42699.2;63704.8;40701.8;26680.6;24664.6;24624.2;65471.6;65471.2;65470.6;64963.6;65466.8;65475.6;65468.6;65472.2
573.3000000000001;41397.8;48107.6;41468.2;63541.0;39355.4;25589.6;24665.4;23596.2;65469.2;65459.8;65468.4;64991.4;65455.8;65457.8;65467.6;65460.0
614.25;39197.8;46785.8;39348.4;63361.6;37086.6;25280.4;23726.4;23507.8;65470.0;65463.8;65470.2;64938.4;65460.0;65460.2;65462.8;65466.8
655.2;37869.6;45459.4;38067.4;63184.8;35610.8;24626.0;23421.2;22717.6;65471.0;65468.0;65471.0;64907.2;65464.6;65463.6;65459.2;65469.0
696.1500000000001;35816.0;44538.6;35844.2;63040.4;33493.0;24865.4;23011.8;22806.4;65467.6;65468.4;65470.2;64779.8;65472.6;65473.6;65467.8;65467.8
737.1;34316.6;43078.4;34420.8;62868.6;31960.0;24122.4;22225.6;21992.6;65461.6;65463.8;65465.6;64722.2;65463.4;65461.6;65469.0;65467.2
