Log;Description
log_01-06-23_13:00:06;SS1 = OD 2.00 e SS2 = OD 1.04
log_01-06-23_13:20:16;SS1 = OD 1.04 e SS2 = OD 2.00
log_01-06-23_13:40:34;SS1 = OD 0.75 e SS2 = OD 0.51
log_01-06-23_14:01:05;SS1 = OD 0.51 e SS2 = OD 0.75
log_01-06-23_14:21:46;SS1 = OD 0.22 e SS2 = OD 0.00
log_01-06-23_14:41:50;SS1 = OD 0.00 e SS2 = OD 0.22
log_02-06-23_09:41:41;SS3 = OD 2.00, SS4 = OD 1.04 e SS5 = OD 0.75
log_02-06-23_10:02:48;SS3 = OD 0.75, SS4 = OD 2.00 e SS5 = OD 1.04
log_02-06-23_10:24:45;SS3 = OD 1.04, SS4 = OD 0.75 e SS5 = OD 2.00
log_02-06-23_10:51:53;SS3 = OD 0.51, SS4 = OD 0.22 e SS5 = OD 0.00
log_02-06-23_11:23:06;SS3 = OD 0.22, SS4 = OD 0.00 e SS5 = OD 0.51
log_02-06-23_11:43:25;SS3 = OD 0.00, SS4 = OD 0.51 e SS5 = OD 0.22
log_log_05-06-23_09:15:40;SS6 = OD 2.00, SS7 = OD 1.04 e SS8 = OD 0.75
log_log_05-06-23_09:40:32;SS6 = OD 1.04, SS7 = OD 0.75 e SS8 = OD 2.00
log_log_05-06-23_10:01:54;SS6 = OD 0.75, SS7 = OD 2.00 e SS8 = OD 1.04
log_log_05-06-23_10:22:37;SS6 = OD 0.51, SS7 = OD 0.22 e SS8 = OD 0.00
log_log_05-06-23_10:48:00;SS6 = OD 0.22, SS7 = OD 0.00 e SS8 = OD 0.51
log_log_05-06-23_11:09:00;SS6 = OD 0.00, SS7 = OD 0.51 e SS8 = OD 0.22
