led;SS1;SS2;SS3;SS4;SS5;SS6;SS7;SS8;SS9;SS10;SS11;SS12;SS13;SS14;SS15;SS16
0.0;65464.0;65458.8;65458.6;65463.0;65464.4;65465.4;65462.4;65460.8;65454.8;65457.4;65456.2;65464.6;65456.4;65456.8;65464.6;65470.0
40.95;63482.0;63637.0;62424.4;65232.2;64166.4;63878.4;64638.0;60102.4;65462.4;65454.8;65465.2;65217.6;65454.2;65463.6;65456.4;65463.6
81.9;59922.2;60653.6;57609.2;64591.6;62046.0;61272.8;63286.6;51688.8;65467.4;65469.4;65465.2;64750.2;65468.8;65467.0;65464.8;65471.2
122.85000000000001;56291.0;57597.0;52613.2;63885.0;59843.4;58690.0;61952.4;43869.6;65457.2;65464.4;65461.2;64215.4;65460.8;65462.4;65454.2;65464.8
163.8;52677.4;54643.8;47664.6;63139.2;57708.8;56153.8;60575.4;35743.8;65467.2;65468.0;65457.6;63666.2;65454.4;65459.8;65462.6;65468.4
204.75;49473.4;51847.6;43226.6;62397.2;55659.4;53886.0;59297.4;29356.6;65464.6;65458.2;65467.2;62984.2;65463.8;65469.0;65464.4;65472.0
245.70000000000002;45699.4;48788.4;38558.6;61601.0;53477.8;51326.8;58016.2;27819.8;65460.2;65472.6;65462.8;62423.0;65474.2;65467.8;65461.2;65465.8
286.65000000000003;42344.2;45986.6;33773.8;60820.0;51252.6;49085.8;56591.4;27375.8;65456.2;65456.0;65461.4;61675.0;65452.6;65457.0;65448.4;65457.0
327.6;38967.0;43012.6;29878.8;60063.8;49220.8;46952.8;55344.0;26881.8;65447.0;65456.8;65464.0;60920.8;65461.6;65460.8;65452.2;65450.6
368.55;36042.6;40345.2;28787.2;59238.4;47321.2;44726.8;54040.6;26455.2;65458.2;65457.0;65460.4;60247.2;65465.0;65460.6;65451.6;65449.8
409.5;32774.6;37347.8;28371.6;58480.4;45308.0;42537.8;52879.0;26086.6;65457.0;65464.2;65460.2;59479.4;65462.4;65454.4;65459.6;65472.2
450.45000000000005;31420.0;34780.2;27688.4;57673.8;43209.2;40168.2;51508.4;25486.0;65457.4;65454.2;65456.8;58571.6;65455.6;65464.4;65459.2;65457.8
491.40000000000003;30486.8;31748.0;26915.4;56856.6;40786.2;38433.4;50120.6;25002.2;65456.6;65455.0;65467.8;57929.2;65457.8;65451.0;65452.8;65455.2
532.35;30213.6;29860.2;26778.4;56095.8;39137.0;36446.8;48897.0;24704.8;65448.6;65464.0;65454.2;57067.8;65459.8;65451.6;65456.8;65470.0
573.3000000000001;29681.0;28513.6;26189.8;55215.0;37083.0;34127.2;47847.0;23869.0;65456.8;65456.2;65460.2;56375.0;65455.0;65458.8;65459.6;65468.6
614.25;28660.4;28009.8;25256.4;54410.0;34742.6;32282.4;46304.6;23758.8;65457.0;65455.4;65457.8;55567.0;65461.8;65455.6;65455.0;65464.6
655.2;28525.0;27352.6;24979.2;53570.8;32908.6;30826.2;45294.8;22861.6;65456.2;65456.4;65454.2;55237.0;65444.0;65446.6;65455.6;65452.6
696.1500000000001;28342.2;27311.4;24991.0;52985.6;31137.4;30643.4;44119.2;22770.2;65461.8;65465.8;65457.8;54580.6;65461.2;65458.8;65462.4;65459.6
737.1;27397.2;26731.8;24139.2;52083.8;29108.8;30060.2;42766.6;22496.4;65452.2;65456.6;65463.2;54511.8;65463.2;65467.0;65457.4;65461.8
778.0500000000001;27067.8;26266.4;23912.0;51412.0;27640.0;29896.8;41633.4;22070.4;65455.4;65458.6;65458.2;54066.6;65459.8;65463.6;65462.8;65463.0
819.0;26744.4;25581.0;23488.2;50520.8;27149.6;28816.8;40734.4;21319.8;65463.2;65463.8;65454.4;54095.6;65450.2;65458.8;65449.6;65468.8
859.95;26129.0;25346.4;22911.2;49820.6;26292.8;28645.4;39370.0;21094.2;65451.2;65455.8;65460.2;53748.6;65464.2;65450.8;65458.6;65460.4
900.9000000000001;25499.0;24598.8;22356.0;48929.0;25804.8;27941.2;38285.8;20459.4;65460.8;65469.0;65456.4;53603.8;65463.0;65460.2;65462.6;65461.8
941.85;25173.2;24249.0;22124.2;48260.6;25409.2;27289.8;37232.0;20094.8;65453.6;65460.8;65464.0;53403.8;65463.2;65463.2;65460.8;65465.2
982.8000000000001;24337.8;24000.8;21710.4;47667.8;24720.2;27367.4;35918.8;20173.8;65467.8;65458.6;65462.6;52895.6;65467.4;65461.6;65459.6;65463.0
1023.7500000000001;24022.2;23359.8;21019.0;46663.6;24423.0;26587.0;34958.0;19435.0;65452.2;65459.8;65452.4;52877.2;65455.8;65458.4;65453.2;65457.2
1064.7;23806.0;23010.6;20947.8;46069.0;23935.0;26199.8;33856.0;18954.8;65455.0;65465.0;65463.8;52550.4;65460.4;65466.8;65468.0;65461.8
1105.65;23270.8;22478.2;20300.4;45211.4;23626.8;25624.2;32730.2;18365.4;65457.0;65456.6;65461.8;52331.0;65457.6;65460.4;65460.8;65459.0
1146.6000000000001;22768.8;22068.2;20047.6;44637.0;22959.8;25331.6;31436.4;18184.6;65456.4;65462.8;65466.2;52032.2;65463.8;65463.2;65468.8;65461.0
1187.5500000000002;22097.2;21029.0;19389.4;43609.4;22607.6;24149.4;30832.2;17376.6;65465.4;65468.6;65470.8;52278.8;65474.8;65461.6;65462.6;65463.0
1228.5;21734.8;20800.8;18974.6;42884.0;22165.0;23884.4;29615.0;16983.8;65458.2;65456.2;65461.4;51971.6;65466.6;65465.6;65465.4;65468.6
1269.45;21151.0;20580.4;18571.2;42132.2;21371.4;23732.8;28322.2;16926.6;65463.4;65463.2;65458.0;51692.2;65453.0;65455.2;65465.0;65469.2
1310.4;20476.8;20032.6;17992.6;41325.6;20949.8;22916.6;27602.6;16524.0;65456.0;65453.0;65458.0;51568.2;65448.2;65463.2;65457.6;65457.6
1351.3500000000001;20384.4;19617.6;17580.8;40607.8;20666.6;22428.8;26478.4;15894.8;65463.0;65456.2;65453.6;51408.2;65461.0;65457.0;65459.0;65456.4
1392.3000000000002;19762.0;19282.2;17289.0;39872.4;20025.8;22065.4;25750.4;15588.6;65459.6;65469.2;65462.6;51084.4;65459.6;65465.0;65464.6;65454.0
