led;SS1;SS2;SS3;SS4;SS5;SS6;SS7;SS8;SS9;SS10;SS11;SS12;SS13;SS14;SS15;SS16
410.0;46534.4;49796.4;27800.2;57982.4;39140.6;27349.4;25848.6;25812.6;65495.2;65487.6;65501.2;65497.4;65491.0;65495.2;65495.2;65492.4
819.0;28111.6;33987.4;23187.8;49743.0;25352.4;22808.2;21501.6;21121.6;65496.0;65499.4;65503.4;65464.2;65504.6;65500.4;65507.2;65509.6
1228.0;22904.2;22836.4;18801.2;41552.0;20518.8;18245.4;17522.8;17204.2;65498.4;65498.0;65498.8;65433.2;65498.0;65500.4;65492.0;65505.8
1638.0;18320.2;18289.2;14674.2;33792.2;16151.8;14334.0;13706.2;13339.4;65504.2;65497.8;65505.2;65394.0;65501.6;65502.2;65494.0;65498.8
2048.0;14051.0;14093.2;10971.2;26306.2;12183.2;10658.8;10337.2;10081.8;65500.8;65503.8;65489.8;65350.6;65490.8;65495.8;65494.4;65500.6
2457.0;10326.8;10541.6;7784.8;19286.6;9017.2;7643.4;7418.6;7341.6;65489.8;65494.0;65495.8;65326.2;65498.2;65504.4;65495.6;65500.4
2866.0;7073.4;7219.4;5534.0;13107.4;6278.2;5413.4;4853.0;4904.2;65494.0;65497.8;65500.0;65272.8;65497.0;65496.6;65497.8;65503.2
3276.0;4595.8;4912.2;3637.4;8573.6;4136.4;3541.6;3408.2;3335.8;65499.8;65495.6;65504.2;65230.0;65494.0;65496.2;65499.8;65499.4
3686.0;3221.6;3444.4;2544.6;5401.8;2914.8;2574.0;2406.6;2380.8;65492.4;65502.8;65499.8;65111.4;65502.4;65494.8;65494.0;65501.0
4095.0;2649.2;2899.4;2153.2;3870.6;2467.0;2208.2;2065.8;2035.8;65508.6;65496.6;65501.4;63336.8;65495.6;65490.8;65502.8;65499.8
