SS1x;SS1y;SS2x;SS2y;SS3x;SS3y;SS4x;SS4y;SS5x;SS5y;SS6x;SS6y;SS7x;SS7y;SS8x;SS8y;SS9x;SS9y;SS10x;SS10y;SS11x;SS11y;SS12x;SS12y;SS13x;SS13y;SS14x;SS14y;SS15x;SS15y;SS16x;SS16y
0.0;63618.6;0.0;55834.6;0.0;63519.0;0.0;64173.0;0.0;65104.4;0.0;65229.4;0.0;64255.2;0.0;45002.0;0.0;65504.0;0.0;65503.0;0.0;65505.6;0.0;65503.4;0.0;65502.2;0.0;65503.4;0.0;65504.8;0.0;65507.2
41.0;65319.0;41.0;62904.2;41.0;65291.0;41.0;65507.0;41.0;65410.2;41.0;65314.8;41.0;65493.2;41.0;62655.8;41.0;65503.2;41.0;65503.0;41.0;65504.0;41.0;65505.4;41.0;65503.0;41.0;65505.6;41.0;65505.8;41.0;65506.8
82.0;65134.6;82.0;58391.4;82.0;65171.0;82.0;65446.0;82.0;65386.4;82.0;65295.0;82.0;65469.0;82.0;60821.4;82.0;65504.6;82.0;65506.2;82.0;65506.0;82.0;65507.0;82.0;65506.6;82.0;65507.2;82.0;65510.0;82.0;65506.0
123.0;64883.0;123.0;54490.4;123.0;65119.8;123.0;65313.0;123.0;65352.0;123.0;65258.6;123.0;65463.2;123.0;58018.4;123.0;65504.2;123.0;65505.4;123.0;65505.0;123.0;65504.0;123.0;65508.6;123.0;65506.6;123.0;65510.0;123.0;65504.8
164.0;64624.0;164.0;49673.4;164.0;65044.6;164.0;65281.0;164.0;65371.0;164.0;65289.0;164.0;65456.4;164.0;55215.2;164.0;65504.0;164.0;65503.4;164.0;65508.0;164.0;65511.0;164.0;65506.6;164.0;65508.6;164.0;65507.8;164.0;65505.2
205.0;64385.6;205.0;44919.2;205.0;64956.2;205.0;65224.2;205.0;65356.0;205.0;65273.0;205.0;65442.4;205.0;52993.8;205.0;65505.8;205.0;65504.8;205.0;65510.4;205.0;65507.0;205.0;65505.0;205.0;65507.0;205.0;65509.0;205.0;65507.0
246.0;64101.0;246.0;41179.6;246.0;64920.6;246.0;65192.0;246.0;65345.0;246.0;65266.0;246.0;65426.4;246.0;50233.8;246.0;65505.8;246.0;65505.4;246.0;65507.8;246.0;65506.2;246.0;65507.0;246.0;65507.0;246.0;65508.2;246.0;65506.6
287.0;63863.2;287.0;36629.2;287.0;64865.2;287.0;65151.6;287.0;65350.6;287.0;65257.0;287.0;65420.0;287.0;47576.2;287.0;65505.0;287.0;65504.4;287.0;65507.0;287.0;65501.2;287.0;65505.0;287.0;65505.0;287.0;65505.4;287.0;65506.0
328.0;63643.2;328.0;32435.8;328.0;64797.0;328.0;65097.4;328.0;65353.6;328.0;65262.6;328.0;65386.0;328.0;45381.0;328.0;65504.6;328.0;65505.2;328.0;65505.8;328.0;65506.4;328.0;65504.0;328.0;65508.0;328.0;65506.8;328.0;65506.0
369.0;63361.4;369.0;29977.0;369.0;64742.6;369.0;65055.4;369.0;65338.8;369.0;65261.6;369.0;65338.0;369.0;42688.0;369.0;65504.0;369.0;65506.6;369.0;65505.0;369.0;65508.0;369.0;65504.8;369.0;65503.0;369.0;65506.0;369.0;65505.8
410.0;63089.6;410.0;29115.6;410.0;64712.0;410.0;65046.2;410.0;65332.0;410.0;65257.8;410.0;65208.0;410.0;39936.0;410.0;65504.0;410.0;65505.6;410.0;65507.4;410.0;65507.4;410.0;65503.4;410.0;65503.0;410.0;65505.0;410.0;65505.0
450.0;62876.0;450.0;28593.8;450.0;64704.8;450.0;65034.4;450.0;65303.6;450.0;65258.2;450.0;65155.2;450.0;35004.0;450.0;65503.0;450.0;65505.0;450.0;65507.8;450.0;65504.6;450.0;65503.0;450.0;65503.0;450.0;65508.0;450.0;65504.0
