led;SS1;SS2;SS3;SS4;SS5;SS6;SS7;SS8;SS9;SS10;SS11;SS12;SS13;SS14;SS15;SS16
0.0;65507.0;65495.2;65426.0;65507.0;65457.4;65409.6;65509.2;64751.6;65510.0;65508.0;65507.4;65508.8;65509.2;65508.0;65508.8;65508.2
82.0;62861.4;55996.2;61045.0;62726.8;60159.8;59050.0;65112.0;57952.4;65509.0;65506.6;65509.0;65509.6;65507.0;65508.0;65506.4;65507.4
164.0;59508.0;44883.0;49468.2;54729.0;51074.4;56081.8;64258.4;51732.4;65505.0;65504.0;65509.0;65507.2;65504.8;65506.6;65508.0;65505.0
246.0;58215.0;38633.2;42841.8;49925.8;43639.0;44421.0;61343.0;42661.8;65504.4;65503.4;65506.6;65504.0;65505.0;65505.8;65506.6;65504.6
328.0;53010.0;29685.0;33235.8;42846.2;39415.4;40272.8;59215.8;36986.6;65503.2;65505.2;65507.8;65507.4;65503.6;65503.4;65510.0;65507.0
410.0;51207.0;29073.8;29222.2;37291.0;30245.0;30999.8;55819.2;28780.4;65503.2;65501.2;65506.0;65509.0;65505.2;65505.4;65507.6;65505.2
491.0;46990.2;27710.0;27142.2;35315.6;29229.6;27910.2;53018.0;25801.0;65506.8;65504.6;65507.4;65502.4;65504.4;65501.4;65506.0;65504.0
573.0;44750.2;26941.2;26211.0;29125.0;27515.2;26023.8;52022.2;25238.0;65502.0;65506.0;65505.0;65502.4;65502.2;65502.8;65504.6;65505.0
655.0;41370.2;25785.4;25663.4;28502.0;26761.6;25313.4;48526.0;23965.0;65502.0;65501.6;65506.2;65504.8;65499.0;65506.0;65506.0;65504.2
737.0;39350.2;24828.0;24367.0;27086.6;25629.6;24232.6;47857.2;23473.6;65504.0;65500.0;65505.6;65504.8;65503.8;65504.2;65506.0;65503.4
819.0;36272.0;24463.6;23845.4;26330.6;24713.0;23342.0;46251.2;22266.8;65503.4;65502.4;65504.8;65504.8;65507.0;65505.0;65508.0;65505.8
901.0;33904.0;22969.0;22580.4;25182.0;24360.6;22834.4;45370.4;21614.8;65504.0;65502.8;65503.8;65499.2;65502.8;65499.8;65505.6;65506.0
983.0;32706.8;22425.8;21871.6;24458.0;22872.0;21597.0;44016.8;20624.0;65503.4;65502.0;65505.0;65504.0;65501.2;65503.2;65507.0;65504.8
1065.0;29460.0;21131.0;20819.4;23338.8;22351.4;21092.6;43148.8;19807.0;65501.2;65499.6;65506.8;65504.4;65504.4;65504.8;65505.0;65504.0
1147.0;28475.4;20435.0;19971.0;22432.0;21095.2;19917.0;41792.4;19510.2;65504.4;65504.4;65503.0;65504.0;65500.6;65500.8;65506.2;65504.2
1228.0;25853.8;19386.6;19652.6;21917.4;20423.2;19269.0;40738.0;18234.0;65504.8;65507.0;65508.2;65503.2;65501.4;65506.0;65507.0;65506.8
1310.0;24909.8;18700.2;18310.0;20657.0;19380.4;18288.4;40093.2;17786.2;65501.0;65501.0;65505.8;65504.0;65502.4;65502.2;65505.0;65505.2
