time,SS1,SS2,SS3,SS4,SS5,SS6,SS7,SS8
11:04:31,2.25,0.1,0.22,0.41,0.58,0.72,1.15,1.7
11:06:39,1.7,2.25,0.1,0.22,0.41,0.58,0.72,1.15
11:08:24,1.15,1.7,2.25,0.1,0.22,0.41,0.58,0.72
10:55:18,0.72,1.15,1.7,2.25,0.1,0.22,0.41,0.58
10:57:15,0.58,0.72,1.15,1.7,2.25,0.1,0.22,0.41
10:59:24,0.41,0.58,0.72,1.15,1.7,2.25,0.1,0.22
11:01:05,0.22,0.41,0.58,0.72,1.15,1.7,2.25,0.1
11:02:50,0.1,0.22,0.41,0.58,0.72,1.15,1.7,2.25
11:23:58,0.0,--,--,--,--,--,--,--
11:26:06,--,0.0,--,--,--,--,--,--
11:30:09,--,--,0.0,--,--,--,--,--
11:31:49,--,--,--,0.0,--,--,--,--
11:33:20,--,--,--,--,0.0,--,--,--
11:36:06,--,--,--,--,--,0.0,--,--
11:37:34,--,--,--,--,--,--,0.0,--
11:39:12,--,--,--,--,--,--,--,0.0
