Log;Description
log_01-06-23_08:02:20;
log_01-06-23_11:27:52;
log_02-06-23_14:20:44;
log_05-06-23_11:58:29;
log_11-05-23_10:03:34;
log_13-06-23_08:39:40;Reprodutibilidade teste 1
log_13-06-23_09:10:18;Reprodutibilidade teste 2
log_13-06-23_11:26:38;Reprodutibilidade teste 3
log_13-06-23_12:28:03;Reprodutibilidade teste 4
log_22-05-23_09:40:30;
log_22-05-23_11:31:29;
log_24-05-23_09:37:11;
log_24-05-23_10:20:41;
log_26-05-23_08:41:21;
log_26-05-23_08:49:54;
log_26-05-23_08:55:51;
log_26-05-23_09:32:02;
log_26-05-23_12:02:30;
log_26-05-23_12:09:55;
log_31-05-23_14:29:00 ;Log normal testando troca de PT (SS2 e 8)
log_31-05-23_14:46:41;Log normal testando troca de PT (SS2 e 8)
Tampa/log_26-05-23_08:41:21 ; Todas sem tampa
Tampa/log_26-05-23_12:02:30 ;SS8 – fina e SS8 – fina
Tampa/log_26-05-23_12:09:55 ;SS7 – fina e SS7 – fina
Tampa/log_29-05-23_10:36:44 ; Todas sem tampa
Tampa/log_29-05-23_11:04:58 ;SS5 – grossa e SS5 – grossa
Tampa/log_29-05-23_11:39:17 ;SS6 – grossa e SS6 – grossa
Tampa/log_29-05-23_11:57:33 ;SS7 – grossa e SS7 – grossa
Tampa/log_29-05-23_12:59:41 ;SS8 – grossa e SS8 – grossa
Tampa/log_31-05-23_09:45:49 ;SS1 – grossa e SS1 – grossa
Tampa/log_31-05-23_10:04:54 ;SS2 – grossa e SS2 – grossa
Tampa/log_31-05-23_10:30:58 ;SS3 – grossa e SS3 – grossa
Tampa/log_31-05-23_10:56:12 ;SS4 – grossa e SS4 – grossa
Tampa/Individualmente;Gráficos de cada SS com e sem tampa (fina)
Tampa/Todas;Gráficos de uma SS para cada um dos logs
log_14-06-23_09:01:19;Repetibilidade 5
log_14-06-23_09:20:53;Repetibilidade 6
log_14-06-23_09:32:05;Repetibilidade 7
log_14-06-23_09:36:53;Repetibilidade 8
log_14-06-23_09:50:28;Repetibilidade 9
log_14-06-23_09:54:22;Repetibilidade 10
log_14-06-23_10:02:54;Repetibilidade 11
log_14-06-23_10:55:03;Repetibilidade 12
log_14-06-23_11:14:23;Repetibilidade 13
