Log;Description
log_13-06-23_08:39:40;Repetibilidade 1
log_13-06-23_09:10:18;Repetibilidade 2
log_13-06-23_11:26:38;Repetibilidade 3
log_13-06-23_12:28:03;Repetibilidade 4
log_14-06-23_09:01:19;Repetibilidade 5
log_14-06-23_09:20:53;Repetibilidade 6
log_14-06-23_09:32:05;Repetibilidade 7
log_14-06-23_09:36:53;Repetibilidade 8
log_14-06-23_09:50:28;Repetibilidade 9
log_14-06-23_09:54:22;Repetibilidade 10
log_14-06-23_10:02:54;Repetibilidade 11
log_14-06-23_10:55:03;Repetibilidade 12
log_14-06-23_11:14:23;Repetibilidade 13
log_14-06-23_11:48:40;Repetibilidade 14
log_14-06-23_13:06:22;Repetibilidade 15
log_14-06-23_13:21:39;Repetibilidade, 100 pontos, 1
log_16-06-23_14:33:37;Repetibilidade, 100 pontos, 2
log_19-06-23_08:24:04;Repetibilidade, 100 pontos, 3
