led;SS1;SS2;SS3;SS4;SS5;SS6;SS7;SS8;SS9;SS10;SS11;SS12;SS13;SS14;SS15;SS16
0.0;2106.8;2110.4;2098.8;2109.8;2103.8;2111.4;2104.2;2106.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0
409.5;2106.4;2109.6;2099.8;2109.6;2103.4;2111.6;2104.0;2105.2;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0
819.0;2106.4;2110.2;2099.4;2109.0;2103.8;2111.0;2104.6;2105.2;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0
1228.5;2107.0;2110.0;2099.6;2109.4;2103.6;2111.2;2103.8;2105.2;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0
1638.0;2106.6;2110.2;2099.2;2110.2;2104.4;2110.4;2103.8;2104.6;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0
2047.5;2106.8;2110.2;2099.2;2109.2;2104.0;2111.0;2103.6;2105.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0
2457.0;2106.2;2109.0;2099.6;2109.2;2103.6;2110.0;2104.2;2104.2;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0
2866.5;2107.0;2109.2;2099.2;2108.4;2103.0;2108.8;2102.8;2105.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0
3276.0;2105.8;2109.8;2098.4;2109.2;2102.4;2110.2;2102.8;2104.2;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0
3685.5;2105.8;2109.2;2098.2;2109.0;2102.0;2109.8;2103.2;2104.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0
4095.0;2106.6;2107.6;2098.2;2108.4;2102.0;2110.0;2102.8;2104.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0
