Log;Description
log_26-05-23_08:41:21;Todas sem tampa
log_26-05-23_12:02:30;SS8 – fina e SS8 – fina
log_26-05-23_12:09:55;SS7 – fina e SS7 – fina
log_29-05-23_10:36:44;Todas sem tampa
log_29-05-23_11:04:58;SS5 – grossa e SS5 – grossa
log_29-05-23_11:39:17;SS6 – grossa e SS6 – grossa
log_29-05-23_11:57:33;SS7 – grossa e SS7 – grossa
log_29-05-23_12:59:41;SS8 – grossa e SS8 – grossa
log_31-05-23_09:45:49;SS1 – grossa e SS1 – grossa
log_31-05-23_10:04:54;SS2 – grossa e SS2 – grossa
log_31-05-23_10:30:58;SS3 – grossa e SS3 – grossa
log_31-05-23_10:56:12;SS4 – grossa e SS4 – grossa
log_31-05-23_14:46:41;Todas sem tampa
log_14-06-23_13:21:39;Todas com tampa
