led;SS1;SS2;SS3;SS4;SS5;SS6;SS7;SS8;SS9;SS10;SS11;SS12;SS13;SS14;SS15;SS16
0.0;2161.0;2163.6;2155.0;2165.0;2160.2;2167.0;2159.8;2159.2;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0
409.5;2161.0;2163.6;2154.2;2164.8;2159.0;2167.0;2159.4;2159.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0
819.0;2159.4;2163.2;2154.8;2164.0;2158.8;2167.0;2160.6;2159.2;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0
1228.5;2160.2;2163.2;2154.8;2163.8;2158.4;2167.0;2159.2;2158.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0
1638.0;2160.0;2163.4;2153.6;2164.2;2157.6;2166.4;2159.2;2158.6;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0
2047.5;2159.8;2163.0;2154.4;2163.0;2158.4;2166.2;2159.4;2158.6;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0
2457.0;2159.8;2162.6;2153.6;2163.4;2158.0;2165.6;2158.8;2158.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0
2866.5;2158.0;2161.6;2153.0;2163.2;2157.4;2166.0;2158.8;2157.4;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0
3276.0;2158.2;2162.6;2153.6;2163.0;2157.4;2164.6;2158.6;2158.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0
3685.5;2158.0;2163.0;2152.6;2162.6;2157.0;2165.0;2158.4;2157.2;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0
4095.0;2157.6;2161.4;2152.0;2162.4;2157.8;2165.2;2158.0;2157.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0
