led;SS1;SS2;SS3;SS4;SS5;SS6;SS7;SS8;SS9;SS10;SS11;SS12;SS13;SS14;SS15;SS16
0.0;64387.6;59815.8;64884.0;65174.0;65236.0;64953.6;65333.8;45811.8;65499.6;65502.2;65503.0;65499.0;65502.6;65501.4;65502.6;65500.4
82.0;64980.4;60233.4;64977.0;65406.0;65241.0;65008.0;65484.2;60432.6;65500.8;65502.2;65502.0;65500.0;65503.8;65500.8;65498.6;65501.8
164.0;64411.8;53079.2;64915.0;65292.0;65228.4;64968.6;65441.2;53102.6;65498.6;65500.4;65495.0;65501.0;65499.4;65500.6;65499.4;65502.4
246.0;63816.2;45821.8;64861.0;65199.0;65227.0;64940.0;65393.4;45147.0;65495.6;65496.8;65496.0;65499.0;65499.8;65501.4;65499.2;65500.8
328.0;63227.8;38838.6;64886.0;65197.0;65231.6;64942.6;65296.6;37486.4;65498.2;65497.6;65499.0;65502.0;65496.4;65499.0;65500.4;65500.0
410.0;62575.4;32153.2;64801.0;65182.0;65233.2;64932.8;65142.6;30269.6;65503.0;65498.8;65503.0;65501.0;65501.0;65498.6;65500.8;65498.2
491.0;61995.6;28684.8;64734.0;65076.0;65228.4;64914.0;64961.8;25514.8;65500.8;65499.0;65499.0;65504.0;65497.8;65500.0;65503.0;65497.0
573.0;61443.4;27361.0;64682.0;65106.0;65223.8;64907.4;64744.8;24215.8;65496.8;65499.0;65502.0;65500.0;65500.6;65501.8;65505.6;65499.4
655.0;60884.6;26401.6;64643.0;64977.0;65229.4;64908.4;64496.0;23338.6;65496.0;65495.8;65502.0;65500.0;65499.2;65498.8;65501.8;65498.6
737.0;60328.6;25439.8;64639.0;65012.0;65222.2;64887.6;64223.4;22478.8;65500.0;65495.0;65497.0;65502.0;65500.0;65498.6;65499.6;65500.0
819.0;59729.2;24528.6;64613.0;64865.0;65220.2;64875.4;63928.2;21631.6;65497.8;65499.0;65502.0;65502.0;65500.2;65499.0;65502.4;65499.0
901.0;59033.0;23607.4;64577.0;64805.0;65226.8;64869.2;63614.2;20816.2;65497.8;65500.0;65500.0;65500.0;65500.8;65496.4;65500.4;65497.0
983.0;58504.6;22687.6;64654.0;64992.0;65233.2;64882.2;63290.8;20008.2;65499.6;65499.2;65503.0;65503.0;65499.0;65497.4;65498.6;65495.2
1065.0;58061.2;21793.6;64388.0;64886.0;65227.6;64863.4;62957.8;19189.8;65500.8;65497.4;65499.0;65499.0;65495.6;65498.4;65498.4;65494.6
1147.0;57502.0;20896.0;64510.0;64794.0;65213.6;64835.2;62616.0;18397.4;65499.4;65497.0;65498.0;65498.0;65497.8;65498.6;65499.2;65496.8
1228.0;56992.2;20029.6;64429.0;64712.0;65197.2;64785.8;62262.2;17626.2;65499.0;65497.8;65504.0;65499.0;65496.8;65498.0;65501.2;65498.6
1310.0;56462.2;19170.8;64338.0;64536.0;65204.4;64813.2;61922.2;16875.4;65499.0;65499.6;65501.0;65498.0;65496.2;65497.6;65501.4;65499.0
1392.0;55856.2;18361.4;64247.0;64483.0;65213.6;64827.4;61587.0;16147.6;65495.0;65502.4;65502.0;65500.0;65497.2;65497.4;65501.0;65496.6
1474.0;55337.2;17517.2;63830.0;64536.0;65211.0;64815.6;61242.8;15438.4;65494.8;65499.0;65497.0;65502.0;65499.0;65497.6;65501.0;65496.8
1556.0;54966.4;16706.0;64165.0;64241.0;65206.2;64807.0;60905.2;14721.0;65499.0;65498.8;65501.0;65502.0;65502.8;65498.6;65501.6;65498.6
1638.0;54474.6;15922.8;64153.0;64262.0;65203.2;64787.8;60559.2;14032.2;65497.6;65498.2;65499.0;65499.0;65501.4;65500.6;65500.8;65498.4
1720.0;53886.0;15149.4;64197.0;64357.0;65205.4;64767.4;60229.8;13363.8;65496.2;65497.2;65498.0;65499.0;65499.4;65499.6;65501.2;65497.4
1802.0;53359.0;14387.8;64130.0;64295.0;65216.8;64795.0;59892.2;12693.6;65497.6;65497.8;65499.0;65501.0;65500.6;65499.8;65499.6;65498.2
1884.0;52850.2;13646.4;63958.0;64102.0;65229.2;64761.0;59573.6;12038.2;65498.8;65497.2;65498.0;65500.0;65499.0;65500.2;65499.2;65497.2
1966.0;52347.8;12911.0;64119.0;64264.0;65186.4;64720.8;59301.2;11424.4;65498.2;65498.6;65499.0;65501.0;65499.4;65497.4;65497.6;65496.0
2048.0;51867.8;12209.6;64027.0;64357.0;65189.8;64722.0;58990.0;10827.8;65498.8;65499.8;65500.0;65499.0;65500.4;65495.8;65497.2;65497.2
2129.0;51409.0;11536.6;64016.0;64227.0;65195.6;64726.6;58693.2;10252.6;65497.4;65498.4;65499.0;65499.0;65498.6;65498.2;65499.8;65498.0
2211.0;51046.0;10870.2;64186.0;64398.0;65188.8;64709.0;58413.8;9689.6;65499.4;65499.6;65497.0;65503.0;65500.0;65500.4;65499.2;65497.4
2293.0;50606.0;10239.4;64164.0;64452.0;65185.6;64691.6;58130.4;9142.6;65497.6;65500.0;65501.0;65500.0;65496.8;65500.2;65498.0;65495.8
2375.0;50278.2;9617.4;64175.0;64438.0;65195.2;64691.0;57855.6;8614.4;65499.4;65499.2;65501.0;65504.0;65499.8;65497.8;65499.2;65498.6
2457.0;49837.4;9025.8;64188.0;64427.0;65207.0;64711.8;57599.0;8112.2;65498.4;65498.2;65500.0;65500.0;65499.6;65497.2;65498.2;65497.4
2539.0;49287.8;8461.8;64129.0;64391.0;65199.8;64706.6;57369.0;7633.0;65500.4;65499.6;65497.0;65497.0;65501.6;65500.6;65502.4;65497.4
2621.0;48861.0;7901.2;64107.0;64363.0;65187.2;64667.6;57137.8;7167.0;65497.8;65500.0;65496.0;65499.0;65499.6;65501.8;65501.2;65497.8
2703.0;48447.8;7360.2;63740.0;64323.0;65184.4;64637.0;56873.8;6714.0;65494.6;65498.4;65499.0;65498.0;65497.8;65499.2;65498.0;65498.2
2785.0;48011.8;6863.4;64010.0;64294.0;65169.8;64600.4;56647.2;6295.6;65494.0;65494.8;65498.0;65497.0;65496.6;65499.2;65498.6;65497.8
2866.0;47674.6;6386.8;64048.0;64260.0;65173.0;64607.6;56464.8;5889.2;65498.0;65495.6;65498.0;65500.0;65496.2;65500.2;65500.8;65498.8
2948.0;47391.6;5936.0;63989.0;64263.0;65186.2;64639.8;56268.6;5505.6;65497.4;65498.4;65500.0;65500.0;65500.4;65500.2;65500.2;65499.4
3030.0;47067.8;5507.0;63984.0;63963.0;65177.4;64617.6;56032.4;5145.0;65499.4;65501.4;65498.0;65499.0;65498.4;65500.4;65499.0;65499.6
3112.0;46698.0;5110.0;63780.0;64251.0;65186.0;64627.4;55822.6;4811.6;65499.2;65498.0;65503.0;65498.0;65500.0;65498.0;65500.8;65501.2
3194.0;46338.8;4732.0;63951.0;64224.0;65180.2;64620.8;55623.0;4502.0;65499.0;65499.4;65502.0;65505.0;65499.8;65498.4;65501.4;65502.0
3276.0;46006.4;4386.6;63915.0;64124.0;65170.6;64594.2;55453.4;4215.6;65499.0;65500.0;65501.0;65501.0;65499.4;65499.0;65499.8;65501.4
3358.0;45673.8;4078.2;63883.0;64169.0;65164.6;64561.4;55253.0;3959.2;65499.8;65501.6;65497.0;65502.0;65500.4;65499.8;65500.8;65499.2
3440.0;45319.4;3811.6;63892.0;64136.0;65178.2;64586.0;55040.0;3725.2;65501.6;65500.4;65495.0;65497.0;65498.8;65501.4;65498.4;65496.2
3522.0;44927.0;3565.6;63443.0;63733.0;65180.0;64579.8;54847.0;3515.6;65500.4;65499.2;65501.0;65497.0;65500.8;65501.6;65499.0;65496.8
3604.0;44653.2;3345.8;63438.0;63507.0;65185.0;64545.2;54641.4;3335.8;65496.8;65498.2;65498.0;65498.0;65496.2;65501.8;65501.6;65501.0
3686.0;44349.0;3162.2;63392.0;63731.0;65136.8;64457.2;54424.4;3180.4;65500.8;65498.0;65502.0;65501.0;65498.6;65503.0;65502.0;65503.6
3767.0;44108.6;3019.0;63439.0;63751.0;65188.0;64536.6;54223.0;3044.8;65502.8;65502.8;65502.0;65503.0;65504.4;65502.2;65502.0;65501.6
3849.0;43778.6;2899.2;63523.0;63793.0;65210.2;64619.2;54038.4;2939.0;65505.4;65501.6;65505.0;65504.0;65501.8;65502.2;65502.6;65500.0
3931.0;43461.4;2818.4;63486.0;63816.0;65231.4;64650.0;53860.4;2867.4;65504.4;65501.8;65501.0;65503.0;65501.8;65503.6;65502.4;65501.2
4013.0;43279.8;2770.4;63460.0;63810.0;65219.0;64643.2;53644.4;2817.6;65507.2;65502.0;65500.0;65501.0;65504.4;65504.2;65503.2;65502.0
4095.0;43045.0;2746.8;63479.0;63640.0;65228.4;64649.6;53439.0;2792.8;65503.2;65505.2;65504.0;65504.0;65503.0;65505.2;65505.2;65502.6
