led;SS1;SS2;SS3;SS4;SS5;SS6;SS7;SS8;SS9;SS10;SS11;SS12;SS13;SS14;SS15;SS16
0.0;2098.8;2091.0;2095.4;2088.2;2229.2;2075.0;2074.2;2077.2;4077.6;4077.2;4077.0;4077.2;4077.0;4077.2;4077.6;4076.8
82.0;2099.4;2091.4;2095.0;2088.2;2231.8;2075.0;2075.8;2078.2;4076.2;4076.8;4076.4;4077.0;4076.0;4077.0;4077.2;4076.8
164.0;2098.8;2091.2;2094.8;2088.0;2235.8;2074.4;2075.6;2078.6;4076.8;4077.4;4076.2;4077.6;4076.0;4077.6;4077.2;4077.0
246.0;2099.6;2091.6;2095.2;2088.4;2238.8;2075.8;2077.2;2078.2;4077.4;4076.0;4077.6;4076.8;4077.0;4078.0;4077.2;4077.2
328.0;2099.0;2090.8;2094.6;2088.0;2242.4;2075.4;2077.0;2079.4;4076.8;4078.0;4077.2;4077.4;4077.0;4077.2;4076.8;4077.4
410.0;2099.4;2090.8;2095.6;2088.6;2244.6;2076.6;2077.2;2079.2;4076.4;4078.2;4077.8;4077.6;4077.8;4077.2;4076.8;4078.0
491.0;2099.2;2091.6;2094.8;2089.0;2246.0;2076.0;2076.8;2080.2;4077.4;4077.4;4076.6;4077.2;4076.8;4078.2;4077.0;4077.4
573.0;2098.4;2091.0;2095.6;2089.4;2247.2;2077.4;2077.4;2079.8;4077.2;4077.4;4077.6;4077.0;4076.8;4077.4;4076.2;4076.8
655.0;2099.0;2091.4;2095.8;2088.8;2249.2;2077.8;2077.6;2080.2;4076.6;4077.6;4076.4;4077.6;4077.4;4076.8;4077.0;4077.2
737.0;2099.2;2089.8;2095.0;2088.6;2252.8;2077.8;2078.0;2079.0;4077.0;4077.4;4076.8;4077.2;4076.6;4077.0;4076.6;4077.0
819.0;2098.8;2090.4;2095.0;2089.2;2254.2;2077.8;2077.8;2079.2;4077.2;4076.2;4077.0;4077.2;4077.2;4077.0;4076.8;4077.0
901.0;2098.6;2089.8;2095.2;2088.2;2257.8;2078.0;2079.0;2079.2;4076.8;4077.6;4076.0;4076.8;4078.0;4077.2;4076.2;4076.8
983.0;2098.6;2088.6;2095.4;2089.2;2259.2;2078.4;2079.0;2079.0;4077.2;4078.0;4077.0;4076.4;4076.8;4077.4;4076.6;4076.2
1065.0;2099.0;2088.0;2094.8;2089.8;2261.6;2079.4;2079.6;2078.8;4077.4;4078.0;4076.6;4077.6;4076.6;4077.4;4076.4;4076.2
1147.0;2099.2;2087.2;2095.4;2089.0;2262.8;2080.2;2078.2;2078.0;4077.4;4076.8;4076.8;4077.2;4076.6;4077.0;4076.6;4076.4
1228.0;2098.4;2086.6;2094.8;2089.0;2263.6;2079.4;2078.0;2077.6;4077.0;4077.0;4076.8;4077.2;4076.6;4077.6;4077.0;4076.8
1310.0;2097.6;2086.4;2095.0;2088.8;2265.8;2078.6;2079.4;2076.6;4077.2;4077.6;4077.0;4077.8;4077.0;4077.4;4076.6;4077.2
