SS1x;SS1y;SS2x;SS2y;SS3x;SS3y;SS4x;SS4y;SS5x;SS5y;SS6x;SS6y;SS7x;SS7y;SS8x;SS8y;SS9x;SS9y;SS10x;SS10y;SS11x;SS11y;SS12x;SS12y;SS13x;SS13y;SS14x;SS14y;SS15x;SS15y;SS16x;SS16y
0.0;28799.2;0.0;51454.0;0.0;1466.0;0.0;854.0;0.0;13154.4;0.0;13197.0;0.0;25376.4;0.0;37565.6;0.0;65520.0;0.0;65520.0;0.0;65520.0;0.0;65520.0;0.0;65520.0;0.0;65520.0;0.0;65520.0;0.0;65520.0
41.0;29780.2;41.0;50618.8;41.0;48916.0;41.0;62846.0;41.0;55397.0;41.0;55587.6;41.0;48503.4;41.0;53715.6;41.0;65520.0;41.0;65520.0;41.0;65520.0;41.0;65520.0;41.0;65520.0;41.0;65520.0;41.0;65520.0;41.0;65520.0
82.0;30642.2;82.0;37113.0;82.0;35338.4;82.0;28056.0;82.0;27449.0;82.0;28122.6;82.0;27971.8;82.0;36940.6;82.0;65520.0;82.0;65520.0;82.0;65520.0;82.0;65520.0;82.0;65520.0;82.0;65520.0;82.0;65520.0;82.0;65520.0
123.0;30995.2;123.0;29914.6;123.0;31325.6;123.0;27665.6;123.0;26860.0;123.0;27661.0;123.0;27369.6;123.0;29443.4;123.0;65520.0;123.0;65520.0;123.0;65520.0;123.0;65520.0;123.0;65520.0;123.0;65520.0;123.0;65520.0;123.0;65520.0
164.0;31215.6;164.0;29337.6;164.0;30766.2;164.0;27192.0;164.0;26395.0;164.0;27194.0;164.0;26902.2;164.0;28922.8;164.0;65520.0;164.0;65520.0;164.0;65520.0;164.0;65520.0;164.0;65520.0;164.0;65520.0;164.0;65520.0;164.0;65520.0
205.0;31464.4;205.0;28932.4;205.0;30343.4;205.0;26710.8;205.0;25456.0;205.0;26714.0;205.0;26433.8;205.0;28430.2;205.0;65520.0;205.0;65520.0;205.0;65520.0;205.0;65520.0;205.0;65520.0;205.0;65520.0;205.0;65520.0;205.0;65520.0
246.0;31695.6;246.0;28431.2;246.0;29835.0;246.0;26335.0;246.0;25086.4;246.0;25783.0;246.0;26061.0;246.0;27934.6;246.0;65520.0;246.0;65520.0;246.0;65520.0;246.0;65520.0;246.0;65520.0;246.0;65520.0;246.0;65520.0;246.0;65520.0
287.0;31874.4;287.0;27953.6;287.0;29345.6;287.0;25891.6;287.0;24653.2;287.0;25414.2;287.0;25609.0;287.0;27549.0;287.0;65520.0;287.0;65520.0;287.0;65520.0;287.0;65520.0;287.0;65520.0;287.0;65520.0;287.0;65520.0;287.0;65520.0
328.0;32046.0;328.0;27586.0;328.0;28977.2;328.0;25569.4;328.0;24300.8;328.0;24994.8;328.0;25265.0;328.0;27146.0;328.0;65520.0;328.0;65520.0;328.0;65520.0;328.0;65520.0;328.0;65520.0;328.0;65520.0;328.0;65520.0;328.0;65520.0
369.0;32196.2;369.0;27152.4;369.0;28521.2;369.0;25623.8;369.0;23963.4;369.0;24583.4;369.0;24322.0;369.0;26632.0;369.0;65520.0;369.0;65520.0;369.0;65520.0;369.0;65520.0;369.0;65520.0;369.0;65520.0;369.0;65520.0;369.0;65520.0
410.0;32317.0;410.0;26681.6;410.0;28007.2;410.0;25286.4;410.0;23474.6;410.0;24192.0;410.0;23918.0;410.0;25716.0;410.0;65520.0;410.0;65520.0;410.0;65520.0;410.0;65520.0;410.0;65520.0;410.0;65520.0;410.0;65520.0;410.0;65520.0
450.0;32444.0;450.0;26296.0;450.0;27588.0;450.0;24268.4;450.0;23014.6;450.0;23717.8;450.0;23473.0;450.0;25335.2;450.0;65520.0;450.0;65520.0;450.0;65520.0;450.0;65520.0;450.0;65520.0;450.0;65520.0;450.0;65520.0;450.0;65520.0
491.0;32547.0;491.0;25842.0;491.0;27134.8;491.0;23953.8;491.0;22685.0;491.0;23284.6;491.0;23039.0;491.0;24856.0;491.0;65520.0;491.0;65520.0;491.0;65520.0;491.0;65520.0;491.0;65520.0;491.0;65520.0;491.0;65520.0;491.0;65520.0
532.0;32670.0;532.0;25370.0;532.0;26679.2;532.0;23756.0;532.0;21862.2;532.0;22490.2;532.0;22293.2;532.0;24403.2;532.0;65520.0;532.0;65520.0;532.0;65520.0;532.0;65520.0;532.0;65520.0;532.0;65520.0;532.0;65520.0;532.0;65520.0
573.0;32750.0;573.0;24433.0;573.0;26284.0;573.0;23994.6;573.0;21212.8;573.0;21811.4;573.0;21980.0;573.0;24037.4;573.0;65520.0;573.0;65520.0;573.0;65520.0;573.0;65520.0;573.0;65520.0;573.0;65520.0;573.0;65520.0;573.0;65520.0
614.0;32832.4;614.0;24074.6;614.0;25782.0;614.0;23685.0;614.0;21472.2;614.0;22032.2;614.0;21799.4;614.0;23577.0;614.0;65520.0;614.0;65520.0;614.0;65520.0;614.0;65520.0;614.0;65520.0;614.0;65520.0;614.0;65520.0;614.0;65520.0
655.0;32908.8;655.0;23581.0;655.0;25319.0;655.0;23318.0;655.0;21077.8;655.0;21705.2;655.0;21481.0;655.0;23138.0;655.0;65520.0;655.0;65520.0;655.0;65520.0;655.0;65520.0;655.0;65520.0;655.0;65520.0;655.0;65520.0;655.0;65520.0
696.0;32949.2;696.0;23085.6;696.0;24319.0;696.0;22894.0;696.0;20656.4;696.0;21312.6;696.0;21090.4;696.0;22768.0;696.0;65520.0;696.0;65520.0;696.0;65520.0;696.0;65520.0;696.0;65520.0;696.0;65520.0;696.0;65520.0;696.0;65520.0
737.0;32991.8;737.0;22709.2;737.0;23931.0;737.0;22035.0;737.0;20302.0;737.0;20886.6;737.0;20658.0;737.0;22291.6;737.0;65520.0;737.0;65520.0;737.0;65520.0;737.0;65520.0;737.0;65520.0;737.0;65520.0;737.0;65520.0;737.0;65520.0
778.0;33039.0;778.0;22264.8;778.0;23464.4;778.0;21728.6;778.0;19916.0;778.0;20549.0;778.0;20158.0;778.0;21428.2;778.0;65520.0;778.0;65520.0;778.0;65520.0;778.0;65520.0;778.0;65520.0;778.0;65520.0;778.0;65520.0;778.0;65520.0
819.0;33069.0;819.0;21813.0;819.0;22981.6;819.0;21319.2;819.0;19482.0;819.0;20092.0;819.0;19235.4;819.0;20656.2;819.0;65520.0;819.0;65520.0;819.0;65520.0;819.0;65520.0;819.0;65520.0;819.0;65520.0;819.0;65520.0;819.0;65520.0
860.0;33096.4;860.0;21451.0;860.0;22609.8;860.0;20868.8;860.0;18648.0;860.0;19674.0;860.0;19478.4;860.0;21078.4;860.0;65520.0;860.0;65520.0;860.0;65520.0;860.0;65520.0;860.0;65520.0;860.0;65520.0;860.0;65520.0;860.0;65520.0
901.0;33134.6;901.0;21007.0;901.0;22150.4;901.0;20565.2;901.0;18328.0;901.0;18847.0;901.0;19148.0;901.0;20655.4;901.0;65520.0;901.0;65520.0;901.0;65520.0;901.0;65520.0;901.0;65520.0;901.0;65520.0;901.0;65520.0;901.0;65520.0
942.0;33165.8;942.0;20558.2;942.0;21679.2;942.0;20165.4;942.0;17918.4;942.0;18491.8;942.0;18717.0;942.0;20285.0;942.0;65520.0;942.0;65520.0;942.0;65520.0;942.0;65520.0;942.0;65520.0;942.0;65520.0;942.0;65520.0;942.0;65520.0
983.0;33172.0;983.0;20202.4;983.0;21306.4;983.0;19748.2;983.0;17503.2;983.0;18081.4;983.0;18306.0;983.0;19838.0;983.0;65520.0;983.0;65520.0;983.0;65520.0;983.0;65520.0;983.0;65520.0;983.0;65520.0;983.0;65520.0;983.0;65520.0
1024.0;33170.2;1024.0;19764.8;1024.0;20852.0;1024.0;19430.2;1024.0;17184.8;1024.0;17659.4;1024.0;17481.0;1024.0;19394.0;1024.0;65520.0;1024.0;65520.0;1024.0;65520.0;1024.0;65520.0;1024.0;65520.0;1024.0;65520.0;1024.0;65520.0;1024.0;65520.0
1065.0;33179.0;1065.0;19331.0;1065.0;20401.8;1065.0;19044.8;1065.0;16782.0;1065.0;17332.8;1065.0;17147.4;1065.0;18544.0;1065.0;65520.0;1065.0;65520.0;1065.0;65520.0;1065.0;65520.0;1065.0;65520.0;1065.0;65520.0;1065.0;65520.0;1065.0;65520.0
1106.0;33174.0;1106.0;18991.0;1106.0;20043.2;1106.0;18665.0;1106.0;16385.8;1106.0;16927.8;1106.0;16747.2;1106.0;18212.0;1106.0;65520.0;1106.0;65520.0;1106.0;65520.0;1106.0;65520.0;1106.0;65520.0;1106.0;65520.0;1106.0;65520.0;1106.0;65520.0
1147.0;33171.0;1147.0;18566.0;1147.0;19586.0;1147.0;18365.2;1147.0;16080.6;1147.0;16534.0;1147.0;16368.8;1147.0;17802.6;1147.0;65520.0;1147.0;65520.0;1147.0;65520.0;1147.0;65520.0;1147.0;65520.0;1147.0;65520.0;1147.0;65520.0;1147.0;65520.0
1188.0;33188.0;1188.0;18134.0;1188.0;19154.4;1188.0;17993.2;1188.0;15703.8;1188.0;16221.6;1188.0;16057.6;1188.0;17389.0;1188.0;65520.0;1188.0;65520.0;1188.0;65520.0;1188.0;65520.0;1188.0;65520.0;1188.0;65520.0;1188.0;65520.0;1188.0;65520.0
1228.0;33184.0;1228.0;17339.0;1228.0;18804.0;1228.0;17629.8;1228.0;15328.2;1228.0;15834.0;1228.0;15690.6;1228.0;17090.6;1228.0;65520.0;1228.0;65520.0;1228.0;65520.0;1228.0;65520.0;1228.0;65520.0;1228.0;65520.0;1228.0;65520.0;1228.0;65520.0
1269.0;33167.8;1269.0;17012.6;1269.0;18404.0;1269.0;17341.0;1269.0;15027.0;1269.0;15455.4;1269.0;15321.8;1269.0;16690.8;1269.0;65520.0;1269.0;65520.0;1269.0;65520.0;1269.0;65520.0;1269.0;65520.0;1269.0;65520.0;1269.0;65520.0;1269.0;65520.0
1310.0;33154.4;1310.0;16603.8;1310.0;17961.0;1310.0;16952.0;1310.0;14642.4;1310.0;15146.0;1310.0;15014.6;1310.0;16280.6;1310.0;65520.0;1310.0;65520.0;1310.0;65520.0;1310.0;65520.0;1310.0;65520.0;1310.0;65520.0;1310.0;65520.0;1310.0;65520.0
1351.0;33131.0;1351.0;16200.4;1351.0;17105.0;1351.0;16577.0;1351.0;14278.0;1351.0;14757.8;1351.0;14635.8;1351.0;15964.2;1351.0;65520.0;1351.0;65520.0;1351.0;65520.0;1351.0;65520.0;1351.0;65520.0;1351.0;65520.0;1351.0;65520.0;1351.0;65520.0
1392.0;33097.2;1392.0;15858.4;1392.0;16767.4;1392.0;15826.0;1392.0;13982.0;1392.0;14390.4;1392.0;14262.2;1392.0;15567.4;1392.0;65520.0;1392.0;65520.0;1392.0;65520.0;1392.0;65520.0;1392.0;65520.0;1392.0;65520.0;1392.0;65520.0;1392.0;65520.0
1433.0;33072.6;1433.0;15439.8;1433.0;16331.8;1433.0;15510.8;1433.0;13603.0;1433.0;14076.0;1433.0;13953.4;1433.0;15166.2;1433.0;65520.0;1433.0;65520.0;1433.0;65520.0;1433.0;65520.0;1433.0;65520.0;1433.0;65520.0;1433.0;65520.0;1433.0;65520.0
1474.0;33049.0;1474.0;15051.4;1474.0;15901.6;1474.0;15143.2;1474.0;13248.0;1474.0;13699.0;1474.0;13568.6;1474.0;14854.0;1474.0;65520.0;1474.0;65520.0;1474.0;65520.0;1474.0;65520.0;1474.0;65520.0;1474.0;65520.0;1474.0;65520.0;1474.0;65520.0
1515.0;33011.8;1515.0;14761.0;1515.0;15598.2;1515.0;14779.0;1515.0;12546.0;1515.0;13349.0;1515.0;13238.4;1515.0;14487.6;1515.0;65520.0;1515.0;65520.0;1515.0;65520.0;1515.0;65520.0;1515.0;65520.0;1515.0;65520.0;1515.0;65520.0;1515.0;65520.0
1556.0;32989.6;1556.0;14379.0;1556.0;15197.4;1556.0;14479.8;1556.0;12269.2;1556.0;12630.0;1556.0;12980.0;1556.0;14128.6;1556.0;65520.0;1556.0;65520.0;1556.0;65520.0;1556.0;65520.0;1556.0;65520.0;1556.0;65520.0;1556.0;65520.0;1556.0;65520.0
