timestamp;module;SS1;SS2;SS3;SS4;SS5;SS6;SS7;SS8;SS9;SS10;SS11;SS12;SS13;SS14;SS15;SS16
1681842289.8323867;stire;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42
1681842290.8517687;tempe;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
1681842290.8517687;tempb;1899;1865;1897;1899;1900;1872;1898;1881;4076;4079;4076;4077;4077;4077;4078;4078
1681842291.9064305;od_lede;2560;2560;2560;2560;2560;2560;2560;2560;2560;2560;2560;2560;2560;2560;2560;2560
1681842292.9398096;od_135e;1000
1681842292.9398096;od_135b;65504;65504;8087;59256;65505;65502;6376;39506;65505;65504;51250;61058;65505;65506;9341;35552
1681842294.0378163;pumpe;1|10-1|10-1|10;1|10-1|10-1|10;1|10-1|10-1|10;1|10-1|10-1|10;1|10-1|10-1|10;1|10-1|10-1|10;1|10-1|10-1|10;1|10-1|10-1|10;1|10-1|10-1|10;1|10-1|10-1|10;1|10-1|10-1|10;1|10-1|10-1|10;1|10-1|10-1|10;1|10-1|10-1|10;1|10-1|10-1|10;1|10-1|10-1|10
1681842295.107237;stire;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42
1681842296.125912;tempe;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200
1681842296.125912;tempb;1899;1865;1898;1899;1899;1873;1897;1879;4078;4079;4077;4077;4078;4077;4078;4077
1681842297.4260838;pumpe;10|11-10|11-10|11;10|11-10|11-10|11;10|11-10|11-10|11;10|11-10|11-10|11;10|11-10|11-10|11;10|11-10|11-10|11;10|11-10|11-10|11;10|11-10|11-10|11;10|11-10|11-10|11;10|11-10|11-10|11;10|11-10|11-10|11;10|11-10|11-10|11;10|11-10|11-10|11;10|11-10|11-10|11;10|11-10|11-10|11;10|11-10|11-10|11
