timestamp;time(s);SS1;SS2;SS3;SS4;SS5;SS6;SS7;SS8;SS9;SS10;SS11;SS12;SS13;SS14;SS15;SS16
1681906485.0993326;0.0;31313;2968;42012;48761;33060;1616;53814;1807;65496;65497;65498;65499;65496;65498;65495;65498
1681906488.2208297;3.12149715423584;31313;2968;42012;48761;33060;1616;53810;1807;65496;65497;65498;65499;65497;65495;65495;65498
1681906500.2906177;15.191285133361816;27079;2275;44047;51562;33199;1468;53854;1816;65497;65496;65494;65495;65499;65497;65498;65495
1681906512.3585637;27.259231090545654;27409;2289;41655;52572;33196;1602;53840;1842;65495;65494;65499;65498;65494;65495;65496;65495
1681906524.4264088;39.32707619667053;27050;2159;43284;52624;33044;1417;53770;1943;65497;65494;65500;65497;65497;65498;65499;65496
1681906536.4982672;51.39893460273743;29789;2112;44457;51947;33166;1451;53730;1806;65498;65500;65497;65494;65497;65496;65493;65500
1681906548.5680285;63.468695878982544;28585;2330;41226;51294;33097;1615;53687;1781;65495;65495;65496;65498;65497;65497;65495;65493
1681906560.720688;75.62135553359985;26798;2103;43889;52294;33214;1491;53622;1835;65497;65498;65498;65497;65497;65497;65495;65497
1681906572.7968004;87.69746780395508;29165;2203;41075;50527;33084;1490;53528;2001;65494;65495;65499;65498;65495;65496;65497;65503
1681906584.8643222;99.7649896144867;28183;2217;35974;50228;33030;1435;53520;1851;65500;65499;65500;65501;65494;65496;65498;65499
1681906596.9296381;111.83030557632446;24924;2098;42877;50708;32937;1419;53459;1842;65496;65497;65499;65496;65498;65499;65498;65498
1681906608.9934063;123.8940737247467;27700;2123;36337;49351;32949;1506;53497;1799;65503;65500;65497;65499;65501;65499;65498;65495
1681906621.0628638;135.96353125572205;28754;2117;42969;48708;32908;1506;53452;1948;65495;65493;65496;65495;65499;65499;65496;65498
1681906633.1284657;148.02913308143616;29871;1972;41949;49612;32858;1457;53387;1741;65496;65497;65502;65499;65498;65498;65500;65499
1681906645.2197366;160.12040400505066;25173;2036;40572;48877;32866;1683;53338;1796;65493;65498;65496;65495;65499;65498;65499;65498
1681906657.2868915;172.18755888938904;27135;1987;45108;50912;32799;1512;53325;1777;65495;65493;65497;65498;65497;65496;65499;65501
1681906669.354413;184.25508046150208;25917;2065;43595;48090;32706;1446;53216;2028;65498;65498;65496;65498;65497;65496;65494;65498
1681906681.4219048;196.32257223129272;27764;2158;44152;51773;32634;1563;53159;1817;65501;65499;65499;65504;65498;65499;65501;65500
1681906693.4911053;208.3917727470398;24970;1941;41543;50923;32535;1452;53050;1702;65502;65500;65499;65496;65497;65497;65501;65500
1681906705.558423;220.4590904712677;27729;2080;44372;52256;32483;1477;52930;1853;65501;65502;65500;65500;65503;65501;65500;65500
1681906717.636977;232.5376443862915;25111;2095;38672;49646;32487;1525;52889;1962;65495;65500;65500;65499;65504;65503;65498;65497
1681906729.7181442;244.61881160736084;26094;1964;42943;50513;32259;1570;52699;1846;65495;65498;65497;65497;65499;65501;65499;65499
1681906741.7823424;256.6830098628998;24905;1971;40676;51036;32286;1475;52779;1891;65501;65502;65506;65503;65499;65500;65501;65501
1681906753.8497207;268.7503881454468;24673;1950;42214;50650;32247;1664;52654;1734;65503;65501;65498;65495;65504;65498;65498;65499
1681906765.9168637;280.8175311088562;23850;1982;42147;49791;32099;1541;52559;1975;65498;65499;65500;65503;65498;65497;65497;65499
1681906777.988174;292.88884139060974;22405;2054;41953;50449;32100;1542;52548;1924;65500;65502;65501;65500;65499;65497;65501;65502
1681906790.054602;304.95526933670044;24960;1928;46368;49975;32009;1587;52447;1848;65504;65501;65500;65500;65500;65500;65501;65501
1681906802.1153264;317.01599383354187;23723;1973;47175;50963;31997;1545;52372;1808;65500;65502;65499;65499;65501;65498;65501;65501
1681906814.220223;329.120890378952;24549;2065;50435;52495;31978;1524;52395;1819;65498;65500;65499;65502;65501;65502;65501;65500
1681906826.284278;341.1849453449249;24917;2094;42987;51781;31992;1507;52383;1863;65500;65504;65501;65498;65501;65502;65504;65502
1681906838.3693268;353.2699942588806;24925;2025;39306;50582;31915;1519;52356;1766;65502;65506;65501;65502;65504;65500;65501;65500
1681906850.4413612;365.3420286178589;25017;1976;32768;49896;31863;1594;52242;1809;65502;65503;65495;65498;65501;65502;65503;65500
1681906862.5085473;377.4092147350311;22002;1920;45432;50873;32234;1541;52456;1841;65501;65503;65505;65502;65497;65500;65501;65504
1681906874.5797768;389.48044419288635;23648;1985;33071;49366;32009;1609;52314;1859;65501;65502;65501;65503;65503;65501;65504;65503
1681906886.6446455;401.5453128814697;25686;1897;46875;50217;32122;1592;52278;1870;65503;65498;65501;65499;65504;65501;65501;65501
1681906898.7185004;413.619167804718;20636;1802;42513;48455;31705;1517;51979;1852;65502;65500;65503;65502;65502;65502;65499;65502
1681906910.7927551;425.69342255592346;28042;1965;39583;47771;31757;1315;52178;1799;65503;65502;65500;65503;65505;65500;65502;65501
1681906922.860001;437.76066851615906;25934;1925;34218;48531;31895;1634;52276;1838;65502;65496;65502;65502;65501;65499;65501;65503
1681906934.9300969;449.83076429367065;25089;1932;32783;48952;31805;1517;52361;1854;65502;65506;65506;65500;65503;65504;65501;65501
1681906947.0014634;461.90213084220886;25465;1875;42185;49950;32536;1557;52590;1859;65500;65501;65502;65503;65497;65496;65503;65502
1681906959.068504;473.96917152404785;29264;1985;47882;50811;32781;1479;52530;1895;65502;65502;65501;65503;65501;65500;65504;65507
1681906971.1328368;486.0335042476654;24708;1911;37238;48118;31667;1354;52055;1838;65503;65506;65506;65505;65503;65502;65503;65504
1681906983.2166774;498.1173448562622;25109;1891;43226;48166;31592;1525;52025;2021;65501;65501;65504;65506;65504;65502;65500;65505
1681906995.286275;510.1869423389435;22933;1910;39604;49468;31893;1550;51999;1950;65501;65501;65505;65503;65500;65504;65504;65504
1681907007.353733;522.2544004917145;22722;1920;40176;49349;31969;1456;52225;1876;65502;65502;65502;65498;65503;65502;65506;65501
1681907019.416662;534.3173294067383;23682;1868;30621;48842;31443;1644;51898;1783;65502;65502;65501;65503;65501;65501;65501;65501
1681907031.4838526;546.3845200538635;22410;1892;42626;48308;31595;1524;51877;1696;65504;65504;65502;65504;65503;65501;65501;65499
1681907043.5521712;558.4528386592865;21443;1916;38209;48375;31397;1517;51900;1835;65502;65504;65503;65503;65504;65502;65504;65500
1681907055.61666;570.5173275470734;25268;1953;36517;48561;31421;1541;51905;1835;65502;65500;65502;65504;65501;65501;65503;65500
1681907067.7198787;582.6205461025238;23714;1679;38431;48234;31953;1425;52153;1919;65505;65504;65503;65506;65502;65505;65504;65501
1681907079.793749;594.6944165229797;22108;1856;41865;48782;31460;1518;51733;1849;65498;65497;65503;65503;65503;65498;65502;65502
1681907091.8609054;606.7615728378296;20980;1909;37675;48057;31407;1506;51819;1765;65502;65501;65503;65506;65503;65502;65506;65503
1681907103.9282439;618.8289113044739;23709;1778;39614;49691;31534;1592;51770;1795;65507;65505;65505;65503;65507;65506;65500;65507
1681907115.990908;630.8915753364563;28001;1977;40401;49559;31840;1548;51967;1922;65505;65505;65507;65507;65508;65508;65503;65503
1681907128.0588639;642.9595313072205;24243;1883;41867;48672;31879;1740;51983;1747;65507;65499;65502;65503;65502;65503;65503;65499
1681907140.1257422;655.0264096260071;23593;1801;38949;47992;31485;1515;51802;1874;65504;65506;65501;65505;65504;65500;65499;65503
1681907152.2199593;667.1206266880035;27695;1850;38394;49304;31526;1331;51829;1931;65505;65506;65505;65507;65506;65505;65505;65505
1681907164.2874289;679.1880962848663;23189;1902;41869;46586;31647;1508;51968;1784;65503;65506;65504;65505;65505;65503;65504;65508
1681907176.3561845;691.2568519115448;24713;1771;41430;48308;32214;1629;52102;1932;65505;65505;65508;65501;65504;65507;65507;65506
1681907188.4150903;703.3157577514648;26585;1949;33971;51260;32021;1425;52089;1881;65507;65507;65504;65505;65505;65506;65504;65507
1681907200.4824097;715.3830771446228;23590;1898;33200;50043;31771;1522;51844;1873;65504;65505;65500;65502;65501;65502;65503;65501
1681907212.5499744;727.4506418704987;25186;1880;32731;48963;31751;1482;51906;1896;65507;65503;65505;65504;65502;65506;65507;65506
1681907224.6152248;739.5158922672272;26062;1893;34508;49881;31706;1538;51894;1812;65504;65504;65505;65505;65504;65504;65501;65500
1681907236.722548;751.6232154369354;27136;1806;32693;48206;31329;1683;51744;1923;65503;65502;65502;65504;65504;65503;65504;65502
