timestamp;time(s);SS1;SS2;SS3;SS4;SS5;SS6;SS7;SS8;SS9;SS10;SS11;SS12;SS13;SS14;SS15;SS16
1681906483.0306146;0.0;1980;1909;1983;1972;2043;1901;1924;1907;4078;4075;4079;4076;4076;4075;4077;4077
1681906487.1943128;4.163698196411133;1975;1903;1977;1964;2036;1897;1918;1902;4077;4077;4076;4079;4076;4079;4076;4076
1681906499.262877;16.23226237297058;1963;1893;1967;1955;2023;1882;1903;1890;4078;4078;4077;4077;4078;4079;4077;4077
1681906511.331176;28.30056142807007;1951;1880;1956;1946;2011;1872;1887;1878;4077;4079;4077;4077;4077;4077;4075;4075
1681906523.399199;40.368584394454956;1938;1872;1946;1936;1999;1858;1875;1867;4077;4077;4075;4076;4077;4076;4075;4079
1681906535.4669492;52.43633460998535;1927;1859;1937;1928;1985;1846;1860;1856;4076;4078;4078;4080;4076;4079;4078;4075
1681906547.539982;64.5093674659729;1916;1850;1926;1917;1974;1834;1848;1843;4076;4078;4077;4077;4076;4078;4075;4076
1681906559.6122956;76.5816810131073;1906;1841;1916;1906;1962;1823;1837;1834;4078;4077;4076;4076;4075;4075;4078;4076
1681906571.7653036;88.73468899726868;1898;1831;1906;1899;1951;1814;1825;1824;4077;4076;4075;4078;4077;4078;4077;4079
1681906583.8377068;100.80709218978882;1888;1822;1898;1891;1941;1803;1814;1813;4077;4077;4076;4076;4080;4077;4075;4078
1681906595.9017978;112.87118315696716;1879;1812;1889;1882;1933;1790;1804;1803;4078;4078;4077;4077;4078;4078;4076;4075
1681906607.9652846;124.93466997146606;1870;1805;1877;1871;1921;1783;1792;1794;4076;4077;4077;4078;4076;4076;4076;4075
1681906620.0363646;137.0057499408722;1861;1794;1871;1864;1908;1771;1783;1784;4076;4076;4078;4077;4076;4077;4077;4078
1681906632.1020024;149.07138776779175;1855;1787;1860;1855;1901;1761;1774;1775;4077;4078;4077;4079;4076;4077;4076;4077
1681906644.168333;161.13771843910217;1845;1777;1850;1846;1891;1751;1763;1762;4077;4077;4077;4076;4078;4077;4076;4077
1681906656.2603302;173.22971558570862;1836;1771;1843;1838;1883;1741;1752;1754;4079;4076;4076;4077;4078;4076;4078;4078
1681906668.3277845;185.29716992378235;1829;1761;1832;1830;1874;1730;1743;1748;4076;4077;4078;4077;4077;4078;4079;4076
1681906680.395171;197.36455631256104;1823;1754;1827;1824;1864;1724;1737;1736;4077;4077;4076;4078;4078;4077;4078;4075
1681906692.4635313;209.43291664123535;1820;1745;1818;1814;1854;1716;1728;1728;4076;4078;4075;4076;4078;4078;4077;4076
1681906704.5317273;221.50111269950867;1814;1738;1811;1806;1846;1705;1717;1722;4077;4076;4074;4077;4077;4078;4075;4076
1681906716.6099942;233.57937955856323;1809;1732;1805;1799;1838;1699;1709;1713;4077;4077;4078;4076;4077;4077;4075;4077
1681906728.68342;245.65280532836914;1805;1727;1797;1792;1831;1690;1703;1705;4077;4076;4078;4078;4076;4078;4079;4078
1681906740.7516122;257.7209975719452;1800;1721;1792;1787;1824;1682;1693;1698;4078;4078;4075;4078;4078;4080;4078;4078
1681906752.823071;269.7924563884735;1794;1714;1787;1777;1817;1675;1685;1690;4078;4080;4078;4078;4077;4078;4078;4078
1681906764.8903496;281.85973501205444;1788;1708;1777;1771;1809;1665;1677;1680;4076;4077;4076;4078;4076;4077;4078;4078
1681906776.9584446;293.9278299808502;1784;1702;1770;1765;1803;1657;1671;1677;4076;4078;4077;4078;4077;4077;4078;4076
1681906789.0218058;305.99119114875793;1779;1694;1764;1758;1795;1652;1664;1669;4077;4077;4076;4079;4078;4077;4078;4077
1681906801.0886705;318.05805587768555;1773;1689;1758;1751;1790;1645;1656;1662;4077;4078;4078;4078;4077;4077;4078;4077
1681906813.1600082;330.1293935775757;1768;1685;1753;1746;1779;1636;1651;1655;4077;4077;4074;4077;4076;4077;4076;4078
1681906825.257797;342.22718238830566;1764;1679;1747;1738;1774;1630;1643;1648;4079;4078;4077;4078;4077;4077;4077;4077
1681906837.3420086;354.31139397621155;1758;1673;1742;1733;1767;1624;1639;1642;4076;4077;4076;4077;4077;4078;4076;4078
1681906849.4112632;366.3806486129761;1753;1666;1738;1728;1761;1617;1630;1634;4077;4076;4077;4076;4076;4077;4077;4076
