timestamp;time(s);SS1;SS2;SS3;SS4;SS5;SS6;SS7;SS8;SS9;SS10;SS11;SS12;SS13;SS14;SS15;SS16
1681842290.8517687;0.0;1899;1865;1897;1899;1900;1872;1898;1881;4076;4079;4076;4077;4077;4077;4078;4078
1681842296.125912;5.274143218994141;1899;1865;1898;1899;1899;1873;1897;1879;4078;4079;4077;4077;4078;4077;4078;4077
1681842298.5128818;7.661113023757935;1898;1865;1898;1897;1899;1870;1897;1878;4077;4078;4078;4078;4075;4077;4076;4074
1681842310.581893;19.7301242351532;1893;1862;1894;1895;1888;1863;1885;1871;4075;4059;4075;4077;4076;4079;4077;4077
1681842322.6498744;31.798105716705322;1887;1855;1889;1889;1880;1852;1869;1864;4078;4079;4076;4078;4079;4078;4075;4076
1681842334.7191083;43.86733961105347;1877;1843;1883;1880;1869;1839;1852;1850;4078;4077;4078;4080;4078;4079;4076;4075
1681842346.785344;55.93357515335083;1867;1835;1874;1874;1855;1829;1837;1839;4075;4077;4077;4079;4076;4078;4077;4078
1681842358.8562078;68.00443911552429;1853;1825;1864;1867;1849;1818;1820;1825;4077;4078;4077;4077;4075;4077;4078;4077
1681842370.924846;80.07307720184326;1845;1816;1857;1856;1843;1808;1808;1818;4077;4078;4074;4076;4076;4078;4077;4078
1681842383.0684297;92.21666097640991;1833;1804;1846;1847;1832;1797;1795;1806;4078;4078;4077;4078;4076;4077;4078;4078
1681842395.1376448;104.28587603569031;1823;1794;1838;1840;1824;1786;1782;1798;4078;4077;4077;4079;4077;4076;4076;4077
1681842407.2068698;116.35510110855103;1816;1786;1829;1832;1816;1777;1775;1788;4078;4077;4074;4077;4076;4079;4077;4078
1681842419.2750416;128.42327284812927;1810;1778;1820;1825;1808;1768;1762;1779;4075;4077;4077;4077;4076;4077;4079;4077
1681842431.343706;140.49193716049194;1799;1767;1811;1816;1805;1758;1753;1771;4078;4076;4078;4076;4077;4076;4076;4077
1681842443.420863;152.5690941810608;1792;1759;1805;1808;1799;1749;1743;1759;4078;4078;4078;4078;4076;4076;4076;4077
1681842455.4941192;164.64235043525696;1786;1753;1797;1802;1793;1740;1732;1753;4077;4076;4078;4077;4076;4078;4075;4078
1681842467.5666373;176.71486854553223;1778;1744;1788;1796;1790;1732;1725;1744;4075;4078;4077;4080;4076;4078;4078;4077
1681842479.6360548;188.78428602218628;1771;1738;1780;1787;1783;1725;1716;1738;4079;4077;4076;4077;4076;4079;4077;4076
1681842491.6975875;200.84581875801086;1765;1729;1773;1782;1780;1716;1708;1730;4076;4079;4078;4076;4078;4077;4077;4077
1681842503.7668056;212.9150369167328;1759;1725;1763;1775;1771;1708;1699;1724;4078;4077;4076;4077;4075;4079;4078;4076
1681842515.8350286;224.98325991630554;1750;1717;1756;1766;1769;1700;1690;1714;4078;4078;4076;4077;4077;4078;4077;4078
1681842527.9073958;237.05562710762024;1743;1711;1750;1760;1763;1692;1686;1710;4077;4077;4076;4077;4076;4078;4079;4077
1681842539.977438;249.12566924095154;1740;1705;1744;1752;1762;1686;1676;1702;4078;4078;4076;4077;4076;4077;4078;4079
1681842552.0645387;261.212769985199;1734;1698;1736;1744;1757;1679;1669;1697;4078;4075;4079;4077;4075;4076;4075;4077
1681842564.1333568;273.28158807754517;1727;1693;1729;1735;1752;1672;1662;1689;4076;4078;4076;4079;4077;4078;4075;4077
1681842576.196959;285.34519028663635;1722;1686;1724;1733;1753;1664;1655;1681;4077;4079;4077;4077;4078;4077;4077;4078
1681842588.2662115;297.41444277763367;1717;1682;1717;1730;1749;1657;1648;1675;4076;4077;4078;4077;4078;4077;4078;4077
1681842600.335268;309.48349928855896;1711;1674;1712;1723;1747;1651;1641;1669;4074;4079;4078;4078;4078;4076;4079;4074
1681842612.4063876;321.5546188354492;1706;1670;1707;1717;1742;1644;1635;1663;4077;4077;4076;4077;4078;4077;4077;4078
1681842624.4773962;333.6256275177002;1702;1665;1699;1709;1738;1637;1629;1656;4078;4076;4077;4077;4078;4077;4077;4077
1681842636.5666895;345.71492075920105;1697;1659;1698;1703;1741;1632;1625;1650;4079;4079;4077;4076;4077;4078;4078;4077
1681842648.635988;357.78421926498413;1694;1653;1691;1699;1735;1627;1618;1645;4078;4077;4076;4078;4077;4077;4077;4079
1681842660.7013614;369.84959268569946;1689;1647;1685;1692;1731;1621;1610;1640;4076;4078;4076;4076;4077;4075;4077;4079
1681842672.7707555;381.91898679733276;1684;1642;1681;1689;1729;1612;1604;1632;4078;4077;4075;4078;4078;4077;4077;4078
