timestamp;time(s);SS1;SS2;SS3;SS4;SS5;SS6;SS7;SS8;SS9;SS10;SS11;SS12;SS13;SS14;SS15;SS16
1684973954.1161587;0.0;7340;9949;10279;7107;6793;7655;6936;10400;65520;65520;65520;65520;65520;65520;65520;65520
1684973957.2458405;3.1296818256378174;7340;9949;10279;7107;6793;7655;6940;10396;65520;65520;65520;65520;65520;65520;65520;65520
1684973969.311091;15.194932222366333;7418;10070;10990;7103;6805;7666;6945;10431;65520;65520;65520;65520;65520;65520;65520;65520
1684973981.3763788;27.260220050811768;7563;10117;11969;7117;6806;7666;6947;10391;65520;65520;65520;65520;65520;65520;65520;65520
1684973993.4437437;39.327584981918335;7566;10098;12027;7110;6815;7656;6955;10396;65520;65520;65520;65520;65520;65520;65520;65520
1684974005.5073528;51.391194105148315;7657;10154;12199;7121;6815;7663;6962;10403;65520;65520;65520;65520;65520;65520;65520;65520
1684974017.5707474;63.454588651657104;7826;10167;12194;7117;6817;7663;6956;10401;65520;65520;65520;65520;65520;65520;65520;65520
1684974029.6756487;75.55948996543884;7690;10190;12234;7122;6817;7654;6964;10407;65520;65520;65520;65520;65520;65520;65520;65520
1684974041.741135;87.62497615814209;7729;10212;12083;7117;6817;7656;6964;10410;65520;65520;65520;65520;65520;65520;65520;65520
1684974053.8070362;99.69087743759155;7717;10187;12153;7114;6823;7654;6967;10397;65520;65520;65520;65520;65520;65520;65520;65520
1684974065.8757977;111.7596390247345;7904;10186;12053;7115;6817;7649;6973;10392;65520;65520;65520;65520;65520;65520;65520;65520
1684974077.941394;123.82523536682129;7684;10194;12181;7102;6824;7639;6970;10389;65520;65520;65520;65520;65520;65520;65520;65520
1684974090.008917;135.8927583694458;7707;10183;12275;7106;6819;7639;6970;10389;65520;65520;65520;65520;65520;65520;65520;65520
1684974102.0705853;147.95442652702332;7701;10170;12459;7097;6813;7643;6961;10381;65520;65520;65520;65520;65520;65520;65520;65520
1684974114.1746447;160.05848598480225;7720;10163;12369;7088;6818;7629;6970;10359;65520;65520;65520;65520;65520;65520;65520;65520
1684974126.240724;172.1245653629303;7704;10148;12300;7090;6810;7631;6970;10357;65520;65520;65520;65520;65520;65520;65520;65520
1684974138.3061166;184.18995785713196;7780;10181;12044;7076;6807;7623;6955;10341;65520;65520;65520;65520;65520;65520;65520;65520
1684974150.371729;196.25557017326355;7679;10204;12208;7083;6796;7611;6959;10327;65520;65520;65520;65520;65520;65520;65520;65520
1684974162.4376929;208.32153415679932;7983;10239;12009;7085;6796;7604;6965;10318;65520;65520;65520;65520;65520;65520;65520;65520
1684974174.5037203;220.38756155967712;7753;10306;12217;7078;6799;7603;6959;10296;65520;65520;65520;65520;65520;65520;65520;65520
1684974186.573768;232.45760917663574;7665;10350;12315;7058;6793;7599;6951;10284;65520;65520;65520;65520;65520;65520;65520;65520
1684974198.6724365;244.5562777519226;7713;10457;12279;7062;6788;7595;6960;10268;65520;65520;65520;65520;65520;65520;65520;65520
1684974210.7418664;256.6257076263428;7942;10512;12533;7056;6786;7586;6949;10238;65520;65520;65520;65520;65520;65520;65520;65520
