time(s);SS1;SS2;SS3;SS4;SS5;SS6;SS7;SS8;SS9;SS10;SS11;SS12;SS13;SS14;SS15;SS16
0.0;1917;1906;1886;1905;1879;1880;1946;1984;4095;4095;4095;4095;4095;4095;4095;4095
1.0369818210601807;1919;1904;1887;1906;1879;1881;1948;1985;4095;4095;4095;4095;4095;4095;4095;4095
2.0666844844818115;1920;1905;1886;1907;1880;1880;1947;1986;4095;4095;4095;4095;4095;4095;4095;4095
3.096431016921997;1918;1905;1885;1907;1879;1882;1947;1986;4095;4095;4095;4095;4095;4095;4095;4095
4.127086639404297;1920;1905;1887;1905;1878;1881;1946;1984;4095;4095;4095;4095;4095;4095;4095;4095
5.156546115875244;1919;1906;1887;1907;1881;1883;1947;1985;4095;4095;4095;4095;4095;4095;4095;4095
6.189567804336548;1919;1906;1888;1907;1880;1884;1947;1983;4095;4095;4095;4095;4095;4095;4095;4095
7.2199413776397705;1919;1906;1888;1908;1881;1882;1946;1986;4095;4095;4095;4095;4095;4095;4095;4095
8.250494241714478;1919;1907;1887;1908;1882;1883;1949;1986;4095;4095;4095;4095;4095;4095;4095;4095
9.280291080474854;1921;1907;1888;1907;1882;1882;1949;1986;4095;4095;4095;4095;4095;4095;4095;4095
10.309775352478027;1918;1906;1887;1908;1881;1884;1949;1985;4095;4095;4095;4095;4095;4095;4095;4095
11.344986200332642;1920;1906;1888;1907;1881;1897;1948;1985;4095;4095;4095;4095;4095;4095;4095;4095
12.374812364578247;1919;1905;1888;1909;1881;1886;1948;1988;4095;4095;4095;4095;4095;4095;4095;4095
13.404714345932007;1920;1909;1887;1907;1883;1882;1948;1986;4095;4095;4095;4095;4095;4095;4095;4095
14.434248685836792;1922;1907;1887;1908;1882;1884;1948;1986;4095;4095;4095;4095;4095;4095;4095;4095
15.464783430099487;1920;1906;1889;1909;1884;1885;1947;1988;4095;4095;4095;4095;4095;4095;4095;4095
16.60401678085327;1920;1909;1888;1909;1882;1885;1949;1987;4095;4095;4095;4095;4095;4095;4095;4095
17.633551836013794;1921;1909;1887;1909;1883;1886;1948;1986;4095;4095;4095;4095;4095;4095;4095;4095
18.662976026535034;1920;1907;1890;1908;1883;1885;1949;1987;4095;4095;4095;4095;4095;4095;4095;4095
19.693572759628296;1921;1907;1890;1910;1885;1886;1951;1987;4095;4095;4095;4095;4095;4095;4095;4095
20.72305178642273;1921;1908;1889;1910;1884;1886;1949;1989;4095;4095;4095;4095;4095;4095;4095;4095
21.752848148345947;1922;1909;1890;1910;1884;1885;1950;1988;4095;4095;4095;4095;4095;4095;4095;4095
22.782550811767578;1924;1909;1890;1910;1884;1889;1951;1989;4095;4095;4095;4095;4095;4095;4095;4095
23.81342053413391;1923;1909;1891;1912;1884;1888;1950;1988;4095;4095;4095;4095;4095;4095;4095;4095
24.88021469116211;1921;1908;1891;1909;1887;1887;1950;1986;4095;4095;4095;4095;4095;4095;4095;4095
25.910717725753784;1924;1910;1890;1912;1885;1887;1948;1988;4095;4095;4095;4095;4095;4095;4095;4095
26.945188283920288;1925;1912;1891;1911;1886;1889;1949;1991;4095;4095;4095;4095;4095;4095;4095;4095
27.974663257598877;1924;1912;1892;1911;1887;1889;1951;1990;4095;4095;4095;4095;4095;4095;4095;4095
29.00464940071106;1924;1911;1892;1910;1887;1891;1948;1989;4095;4095;4095;4095;4095;4095;4095;4095
30.03525972366333;1925;1911;1894;1912;1886;1888;1951;1989;4095;4095;4095;4095;4095;4095;4095;4095
31.064735651016235;1924;1909;1893;1910;1885;1890;1949;1989;4095;4095;4095;4095;4095;4095;4095;4095
32.097859382629395;1925;1911;1892;1911;1887;1889;1951;1990;4095;4095;4095;4095;4095;4095;4095;4095
33.12743854522705;1924;1908;1893;1912;1888;1891;1951;1989;4095;4095;4095;4095;4095;4095;4095;4095
34.15788650512695;1926;1911;1893;1912;1887;1891;1951;1988;4095;4095;4095;4095;4095;4095;4095;4095
35.187392711639404;1926;1910;1891;1912;1888;1890;1952;1989;4095;4095;4095;4095;4095;4095;4095;4095
36.21701192855835;1927;1912;1895;1913;1889;1891;1951;1990;4095;4095;4095;4095;4095;4095;4095;4095
37.2505362033844;1927;1911;1894;1913;1888;1890;1951;1989;4095;4095;4095;4095;4095;4095;4095;4095
38.280468702316284;1926;1912;1894;1914;1889;1892;1952;1990;4095;4095;4095;4095;4095;4095;4095;4095
39.358546018600464;1926;1913;1895;1914;1890;1891;1951;1989;4095;4095;4095;4095;4095;4095;4095;4095
40.38826298713684;1927;1913;1895;1914;1889;1893;1955;1991;4095;4095;4095;4095;4095;4095;4095;4095
41.41789150238037;1927;1913;1895;1915;1889;1892;1953;1990;4095;4095;4095;4095;4095;4095;4095;4095
42.510520935058594;1927;1913;1894;1914;1891;1892;1951;1991;4095;4095;4095;4095;4095;4095;4095;4095
43.54006314277649;1927;1912;1895;1914;1890;1895;1953;1990;4095;4095;4095;4095;4095;4095;4095;4095
44.570090532302856;1927;1913;1894;1915;1891;1894;1953;1992;4095;4095;4095;4095;4095;4095;4095;4095
45.60057330131531;1926;1915;1897;1913;1892;1896;1952;1990;4095;4095;4095;4095;4095;4095;4095;4095
46.630242347717285;1929;1915;1895;1916;1892;1895;1956;1990;4095;4095;4095;4095;4095;4095;4095;4095
47.66607046127319;1927;1913;1897;1917;1893;1895;1952;1990;4095;4095;4095;4095;4095;4095;4095;4095
48.6966028213501;1927;1914;1895;1915;1891;1896;1954;1991;4095;4095;4095;4095;4095;4095;4095;4095
49.72623062133789;1926;1915;1895;1917;1892;1896;1954;1991;4095;4095;4095;4095;4095;4095;4095;4095
