SS1x;SS1y;SS2x;SS2y;SS3x;SS3y;SS4x;SS4y;SS5x;SS5y;SS6x;SS6y;SS7x;SS7y;SS8x;SS8y;SS9x;SS9y;SS10x;SS10y;SS11x;SS11y;SS12x;SS12y;SS13x;SS13y;SS14x;SS14y;SS15x;SS15y;SS16x;SS16y
0.0;18596.0;0.0;64478.0;0.0;64645.0;0.0;63790.6;0.0;63439.4;0.0;63501.6;0.0;63199.8;0.0;63009.0;0.0;65520.0;0.0;65520.0;0.0;65520.0;0.0;65520.0;0.0;65520.0;0.0;65520.0;0.0;65520.0;0.0;65520.0
41.0;20435.0;41.0;64491.0;41.0;61277.0;41.0;56917.0;41.0;49313.6;41.0;49651.2;41.0;42649.4;41.0;46465.2;41.0;65520.0;41.0;65520.0;41.0;65520.0;41.0;65520.0;41.0;65520.0;41.0;65520.0;41.0;65520.0;41.0;65520.0
82.0;21240.6;82.0;30953.0;82.0;47773.0;82.0;29241.2;82.0;27879.4;82.0;28642.0;82.0;28505.8;82.0;35121.0;82.0;65520.0;82.0;65520.0;82.0;65520.0;82.0;65520.0;82.0;65520.0;82.0;65520.0;82.0;65520.0;82.0;65520.0
123.0;22026.8;123.0;30297.0;123.0;32338.0;123.0;28746.0;123.0;27412.8;123.0;28067.6;123.0;27838.6;123.0;29883.8;123.0;65520.0;123.0;65520.0;123.0;65520.0;123.0;65520.0;123.0;65520.0;123.0;65520.0;123.0;65520.0;123.0;65520.0
164.0;22715.4;164.0;29690.6;164.0;31617.0;164.0;28169.0;164.0;26864.2;164.0;27619.0;164.0;27397.0;164.0;29260.8;164.0;65520.0;164.0;65520.0;164.0;65520.0;164.0;65520.0;164.0;65520.0;164.0;65520.0;164.0;65520.0;164.0;65520.0
205.0;23238.6;205.0;29184.8;205.0;30604.0;205.0;27692.0;205.0;26389.8;205.0;27156.8;205.0;26918.2;205.0;28849.2;205.0;65520.0;205.0;65520.0;205.0;65520.0;205.0;65520.0;205.0;65520.0;205.0;65520.0;205.0;65520.0;205.0;65520.0
246.0;23842.6;246.0;28793.8;246.0;30176.0;246.0;26760.0;246.0;26025.0;246.0;26671.0;246.0;26448.0;246.0;28380.4;246.0;65520.0;246.0;65520.0;246.0;65520.0;246.0;65520.0;246.0;65520.0;246.0;65520.0;246.0;65520.0;246.0;65520.0
287.0;24403.6;287.0;28314.0;287.0;29685.8;287.0;26395.2;287.0;25584.0;287.0;26299.0;287.0;26094.0;287.0;27945.6;287.0;65520.0;287.0;65520.0;287.0;65520.0;287.0;65520.0;287.0;65520.0;287.0;65520.0;287.0;65520.0;287.0;65520.0
328.0;24834.4;328.0;27847.4;328.0;29192.4;328.0;25928.8;328.0;25166.0;328.0;25883.0;328.0;25682.8;328.0;27613.6;328.0;65520.0;328.0;65520.0;328.0;65520.0;328.0;65520.0;328.0;65520.0;328.0;65520.0;328.0;65520.0;328.0;65520.0
369.0;25334.0;369.0;27449.8;369.0;28776.2;369.0;25461.4;369.0;24230.0;369.0;25404.0;369.0;25187.6;369.0;27110.6;369.0;65520.0;369.0;65520.0;369.0;65520.0;369.0;65520.0;369.0;65520.0;369.0;65520.0;369.0;65520.0;369.0;65520.0
