timestamp;time(s);SS1;SS2;SS3;SS4;SS5;SS6;SS7;SS8;SS9;SS10;SS11;SS12;SS13;SS14;SS15;SS16
1681750159.5018163;0.0;1264;1193;1205;1211;1559;1142;1110;1171;4078;4075;4077;4078;4077;4077;4077;4077
1681750163.6611707;4.1593544483184814;1262;1193;1205;1213;1559;1141;1109;1171;4077;4077;4075;4079;4078;4078;4080;4077
1681750175.7316825;16.22986626625061;1262;1194;1205;1211;1568;1139;1108;1171;4077;4079;4078;4079;4076;4078;4080;4076
1681750187.803065;28.301248788833618;1261;1196;1205;1214;1572;1140;1110;1172;4077;4078;4078;4079;4079;4078;4076;4079
1681750199.873398;40.37158179283142;1261;1192;1204;1213;1572;1140;1109;1171;4077;4079;4077;4077;4077;4078;4077;4077
1681750211.945496;52.44367980957031;1261;1195;1205;1212;1567;1142;1109;1172;4078;4078;4076;4076;4077;4077;4076;4076
1681750224.021313;64.51949667930603;1261;1192;1204;1211;1571;1144;1111;1174;4078;4075;4077;4079;4078;4078;4079;4080
1681750236.09199;76.59017372131348;1258;1195;1206;1214;1571;1145;1113;1173;4077;4077;4078;4079;4078;4078;4077;4080
1681750248.1624954;88.66067910194397;1261;1194;1205;1212;1577;1143;1113;1174;4077;4079;4077;4079;4078;4078;4076;4075
1681750260.2356894;100.73387312889099;1261;1196;1208;1214;1579;1146;1111;1174;4078;4078;4077;4077;4077;4078;4079;4077
1681750272.307677;112.80586075782776;1262;1197;1208;1215;1579;1146;1112;1175;4078;4076;4077;4078;4076;4080;4076;4077
1681750284.3997006;124.89788436889648;1262;1197;1208;1215;1578;1145;1114;1174;4080;4078;4077;4078;4078;4076;4076;4075
1681750296.4735343;136.97171807289124;1263;1199;1208;1215;1581;1145;1112;1174;4079;4080;4079;4080;4075;4076;4078;4078
1681750308.5481482;149.0463318824768;1262;1197;1210;1216;1583;1147;1112;1178;4078;4078;4077;4077;4077;4078;4076;4080
1681750320.6234775;161.12166118621826;1262;1195;1209;1216;1581;1145;1113;1176;4078;4079;4077;4077;4077;4078;4079;4079
1681750332.689355;173.18753862380981;1261;1198;1209;1216;1582;1145;1111;1173;4076;4078;4077;4076;4075;4078;4077;4077
1681750344.7609067;185.25909042358398;1260;1195;1211;1218;1584;1146;1112;1172;4076;4077;4078;4078;4077;4079;4077;4076
1681750356.8319347;197.33011841773987;1260;1196;1211;1217;1588;1144;1113;1173;4077;4077;4077;4078;4078;4076;4077;4079
1681750368.9022188;209.40040254592896;1260;1196;1209;1215;1585;1143;1111;1173;4078;4075;4076;4078;4078;4077;4075;4078
1681750380.9775498;221.47573351860046;1262;1195;1208;1217;1585;1144;1111;1173;4077;4078;4077;4078;4077;4077;4078;4080
1681750393.0485077;233.5466914176941;1262;1194;1209;1215;1584;1144;1110;1174;4077;4078;4077;4076;4077;4076;4077;4078
1681750405.1190045;245.61718821525574;1260;1194;1208;1215;1590;1144;1110;1175;4078;4078;4076;4079;4076;4078;4077;4077
1681750417.1905034;257.68868708610535;1259;1197;1209;1214;1591;1146;1111;1173;4077;4079;4078;4077;4077;4078;4077;4079
1681750429.2621276;269.76031136512756;1260;1193;1209;1215;1591;1144;1111;1172;4077;4081;4078;4078;4078;4079;4077;4080
