timestamp;time(s);SS1;SS2;SS3;SS4;SS5;SS6;SS7;SS8;SS9;SS10;SS11;SS12;SS13;SS14;SS15;SS16
1681842292.9398096;0.0;35552;9341;61058;51250;39506;6376;59256;8087;65506;65505;65504;65505;65502;65505;65504;65504
1681842299.5409648;6.6011552810668945;35552;9341;62725;63335;39279;6719;59256;8087;65506;65504;65503;65503;65502;65505;65504;65504
1681842311.6086698;18.66886019706726;37430;10376;62335;59085;38913;6682;59295;8572;65504;65504;65503;65503;65500;65502;65507;65502
1681842323.6769903;30.737180709838867;37516;10357;62197;56503;38738;6617;59260;8569;65502;65503;65504;65504;65504;65501;65500;65502
1681842335.747177;42.8073673248291;37484;10364;62216;57642;38872;6741;59310;8542;65499;65501;65503;65502;65501;65500;65507;65500
1681842347.814888;54.875078439712524;37510;10380;62353;59030;39047;6629;59294;8459;65499;65501;65503;65503;65502;65502;65505;65500
1681842359.8830886;66.94327902793884;37497;10418;62341;55312;38751;6725;59286;8540;65505;65505;65503;65505;65504;65503;65505;65503
1681842372.0270762;79.08726668357849;37539;10396;62484;56536;39274;6535;59271;8520;65503;65502;65505;65507;65499;65502;65505;65505
1681842384.0952249;91.15541529655457;37532;10371;62444;56088;38804;6674;59266;8587;65501;65503;65504;65505;65506;65503;65504;65504
1681842396.1657426;103.22593307495117;37534;10414;62532;57824;39236;6612;59277;8547;65502;65502;65504;65503;65504;65503;65505;65504
1681842408.2338195;115.29400992393494;37700;10436;62329;57773;38837;6677;59260;8552;65501;65498;65500;65502;65504;65500;65506;65503
1681842420.3025694;127.3627598285675;37620;10451;62282;56382;38842;6718;59261;8448;65501;65502;65503;65502;65503;65503;65505;65503
1681842432.3735833;139.43377375602722;37570;10431;62395;54942;38951;6709;59230;8553;65502;65505;65502;65505;65505;65502;65499;65500
1681842444.4489057;151.50909614562988;37592;10427;62323;54092;39035;6614;59238;8576;65504;65504;65505;65506;65503;65501;65505;65504
1681842456.525505;163.5856955051422;37567;10433;61733;56574;39054;6540;59217;8586;65500;65505;65503;65501;65506;65503;65503;65503
1681842468.5937285;175.65391898155212;37426;10462;61342;54223;38988;6623;59214;8581;65504;65504;65501;65502;65506;65506;65507;65504
1681842480.6637158;187.72390627861023;37506;10438;61454;59715;38927;6608;59213;8587;65504;65505;65505;65508;65505;65504;65505;65502
1681842492.7255194;199.78570985794067;37519;10434;61136;55463;38632;6631;59218;8550;65503;65504;65503;65503;65503;65505;65504;65503
1681842504.7937424;211.85393285751343;37540;10445;61954;55640;38829;6560;59214;8580;65504;65503;65502;65504;65503;65503;65508;65504
1681842516.8659282;223.92611861228943;37651;10420;60090;57705;38658;6724;59187;8517;65501;65504;65506;65505;65502;65504;65507;65505
1681842528.9350407;235.9952311515808;37502;10443;62011;56911;38785;6617;59149;8481;65501;65502;65503;65507;65504;65505;65509;65508
1681842541.0232482;248.08343863487244;37434;10436;61807;58235;38960;6596;59149;8441;65500;65501;65504;65507;65505;65500;65505;65503
1681842553.0913234;260.15151381492615;37454;10448;61973;56878;38827;6542;59125;8501;65503;65503;65503;65506;65505;65503;65503;65502
1681842565.1609654;272.2211558818817;37450;10450;61728;59375;38939;6468;59115;8537;65505;65506;65507;65507;65505;65501;65504;65504
1681842577.225043;284.28523349761963;37459;10438;62035;58265;39102;6408;59083;8555;65504;65505;65507;65505;65504;65506;65505;65506
1681842589.2938254;296.35401582717896;37438;10454;61733;58962;39110;6567;59064;8460;65501;65504;65504;65504;65503;65503;65504;65502
1681842601.3663986;308.426589012146;37345;10479;62009;56463;38759;6542;59039;8083;65506;65504;65504;65503;65502;65502;65505;65503
1681842613.4342906;320.49448108673096;37295;10460;61812;54024;38663;6688;59050;8026;65502;65504;65505;65502;65503;65506;65508;65503
1681842625.525436;332.5856263637543;37457;10473;61899;59507;38851;6408;59058;7996;65504;65503;65505;65503;65505;65506;65507;65503
1681842637.59354;344.65373039245605;37432;10463;61654;56420;39033;6542;59071;8118;65503;65502;65506;65507;65506;65504;65502;65504
1681842649.66368;356.72387051582336;37423;10462;61634;56584;38935;6711;59072;7897;65503;65507;65504;65504;65508;65504;65506;65503
1681842661.7290938;368.78928422927856;37296;10457;62029;57196;39181;6479;59089;8032;65503;65503;65509;65507;65508;65509;65507;65504
1681842673.7976062;380.85779666900635;37251;10484;61408;58399;38638;6572;59070;7792;65506;65505;65503;65503;65503;65505;65506;65505
1681842685.8679447;392.92813515663147;37302;10460;61845;55711;38927;6506;59083;8335;65503;65504;65504;65507;65508;65503;65506;65506
1681842697.9378245;404.9980149269104;37272;10500;61852;56524;38808;6427;58990;8344;65504;65504;65503;65505;65505;65504;65507;65506
1681842710.0219066;417.08209705352783;37382;10507;62021;57856;38918;6489;59019;8402;65503;65505;65505;65505;65504;65501;65507;65506
1681842722.090027;429.1502175331116;37330;10537;62079;53859;39237;6637;58993;8566;65504;65505;65506;65506;65505;65504;65507;65507
1681842734.1597064;441.2198967933655;37491;10635;61491;55647;38838;6595;58986;8570;65502;65506;65505;65504;65505;65503;65506;65507
1681842746.2241828;453.28437328338623;37358;10589;61655;52857;38975;6603;59000;8449;65504;65500;65505;65507;65503;65502;65507;65501
1681842758.2928505;465.353040933609;37338;10507;61442;56655;39122;6569;59012;8569;65503;65504;65508;65505;65504;65505;65503;65504
1681842770.3877094;477.4478998184204;37269;10484;61234;55101;38942;6521;58973;8546;65503;65506;65506;65505;65506;65508;65506;65503
1681842782.452442;489.5126323699951;37264;10471;61429;58296;39068;6405;58920;8348;65505;65506;65508;65503;65503;65509;65507;65499
1681842794.5217564;501.581946849823;37220;10475;60883;56896;39153;6596;58914;8476;65504;65503;65508;65504;65502;65506;65506;65501
1681842806.5900893;513.6502797603607;37231;10498;62582;56567;38757;6523;58920;8447;65501;65504;65508;65507;65502;65501;65506;65502
1681842818.6597493;525.7199397087097;37276;10515;62584;58608;38932;6356;58926;8205;65502;65502;65510;65508;65506;65506;65507;65504
1681842830.7244713;537.784661769867;37202;10506;60580;56418;38894;6541;58922;8487;65505;65505;65509;65504;65503;65504;65506;65503
1681842842.833588;549.8937783241272;37240;10491;61360;57907;39054;6336;58942;8704;65503;65505;65510;65508;65508;65503;65503;65505
1681842854.9072874;561.9674777984619;37327;10519;61695;54652;39062;6602;58887;8559;65505;65505;65507;65507;65506;65506;65506;65502
1681842866.9725595;574.0327498912811;37304;10528;62544;57217;39006;6412;58930;8383;65506;65505;65506;65508;65506;65503;65508;65506
1681842879.0444674;586.1046578884125;37281;10525;62706;58028;38747;6346;58934;8355;65503;65505;65504;65503;65504;65502;65505;65505
1681842891.1133864;598.1735768318176;37238;10554;61821;58768;38936;6348;58914;8414;65504;65501;65507;65505;65505;65505;65506;65505
1681842903.1930099;610.2532002925873;37291;10571;62088;55015;38896;6373;58885;8276;65504;65503;65509;65507;65508;65508;65506;65503
1681842915.2615225;622.3217129707336;37311;10564;61743;55427;39103;6287;58856;8428;65500;65506;65507;65507;65502;65504;65503;65503
1681842927.3299325;634.3901228904724;37300;10578;62644;55543;38871;6307;58832;8384;65507;65508;65505;65506;65504;65508;65507;65505
1681842939.3999999;646.4601902961731;37359;10584;62683;57828;38933;6402;58827;8340;65504;65508;65506;65506;65507;65508;65506;65505
1681842951.469704;658.5298943519592;37342;10578;62597;54770;38820;6246;58776;8143;65504;65505;65507;65506;65508;65504;65507;65507
1681842963.5722191;670.6324095726013;37368;10563;62619;53825;38759;6479;58764;8120;65504;65502;65506;65508;65505;65503;65505;65503
1681842975.6402628;682.7004532814026;37449;10610;62696;53435;38813;6390;58766;8366;65500;65503;65506;65504;65506;65507;65504;65506
1681842987.7100186;694.7702090740204;37476;10641;62683;56242;38943;6214;58765;8263;65505;65509;65507;65506;65505;65501;65507;65506
1681842999.7783482;706.838538646698;37508;10615;62520;55261;38920;6370;58769;8350;65503;65505;65505;65505;65505;65504;65507;65507
1681843011.848877;718.9090673923492;37446;10637;62721;52732;38842;6385;58853;8438;65505;65508;65506;65507;65506;65508;65507;65504
1681843023.9212713;730.981461763382;37496;10639;62627;54462;39171;6377;58855;8208;65508;65507;65508;65508;65508;65506;65507;65505
1681843035.989625;743.0498154163361;37485;10628;62619;57475;38847;6161;58858;8442;65505;65506;65508;65507;65507;65506;65505;65505
1681843048.0621192;755.1223096847534;37439;10634;62985;53890;38664;6293;58785;8292;65505;65506;65512;65509;65505;65504;65507;65506
