timestamp;time(s);SS1;SS2;SS3;SS4;SS5;SS6;SS7;SS8;SS9;SS10;SS11;SS12;SS13;SS14;SS15;SS16
1681750161.5868983;0.0;52306;29636;63823;64584;52048;38063;63548;22086;65517;65516;65518;65518;65516;65516;65518;65517
1681750164.688977;3.102078676223755;52306;29636;63823;64584;52057;38031;63548;22086;65517;65516;65518;65518;65516;65517;65518;65517
1681750176.7606516;15.173753261566162;52311;29662;63903;64604;52067;38047;63543;22141;65516;65515;65517;65517;65516;65516;65517;65516
1681750188.8308706;27.243972301483154;52320;29711;63896;64593;52061;38113;63540;22025;65516;65517;65516;65517;65517;65517;65518;65517
1681750200.9057686;39.318870306015015;52374;29812;63885;64583;52072;37981;63527;21870;65516;65517;65516;65516;65516;65514;65516;65516
1681750212.9743166;51.387418270111084;52329;29825;63859;64579;52040;37958;63531;21926;65515;65516;65516;65516;65517;65516;65516;65516
1681750225.0494962;63.46259784698486;52378;29946;63881;64633;52032;37870;63527;21974;65516;65517;65517;65517;65517;65516;65516;65515
1681750237.1197574;75.53285908699036;52382;30053;64061;64713;52006;37854;63517;21919;65515;65516;65517;65516;65517;65516;65516;65516
1681750249.1919627;87.60506439208984;52423;29801;64127;64675;51939;37727;63506;21866;65517;65517;65516;65517;65516;65515;65517;65515
1681750261.264491;99.67759275436401;52385;29882;64044;64658;51943;37671;63510;21911;65516;65517;65516;65517;65516;65516;65517;65516
1681750273.3357847;111.74888634681702;52372;29774;64019;64647;51953;37449;63499;21763;65515;65516;65517;65517;65516;65516;65517;65516
1681750285.4306836;123.8437852859497;52350;29722;64009;64647;51916;37571;63512;21719;65517;65517;65516;65517;65517;65517;65517;65515
1681750297.5017605;135.9148621559143;52344;29833;64039;64649;51937;37641;63526;21882;65517;65516;65517;65516;65517;65516;65517;65515
1681750309.5760045;147.9891061782837;52387;29807;64063;64666;51928;37504;63525;21774;65516;65515;65517;65517;65516;65517;65516;65517
1681750321.6534793;160.06658101081848;52319;29795;64039;64674;51933;37507;63516;21784;65517;65516;65518;65518;65517;65517;65516;65517
1681750333.718278;172.1313796043396;52314;29680;64079;64665;51932;37545;63527;21898;65516;65516;65516;65516;65518;65516;65517;65516
1681750345.7890687;184.20217037200928;52365;29592;64057;64697;51928;37552;63530;21953;65516;65517;65517;65517;65517;65516;65516;65517
1681750357.8597288;196.2728304862976;52287;29565;64067;64682;51945;37635;63524;21768;65515;65516;65517;65517;65517;65517;65517;65515
1681750369.933779;208.34688067436218;52319;29575;64077;64671;51960;37714;63537;22066;65516;65516;65516;65516;65516;65516;65517;65516
1681750382.005708;220.4188096523285;52317;29650;64135;64712;51948;37752;63536;22248;65516;65516;65516;65517;65516;65516;65516;65517
1681750394.0763817;232.48948335647583;52289;29640;64037;64576;51811;37825;63536;22211;65516;65517;65516;65516;65516;65517;65516;65516
1681750406.1466813;244.55978298187256;52347;29617;64046;64660;51957;37774;63547;22237;65516;65516;65516;65516;65517;65516;65517;65516
